# Addition and removal energies (HF, IMSRG, QDPT)
#
# num_shells: total number of shells in basis.
#
# num_filled: number of shells fully occupied by electrons;
# The number of electrons is given by num_filled * (num_filled + 1).
#
# freq: frequency of the harmonic oscillator potential in atomic units.
#
# is_hole: whether the row denotes addition energy or removal energy;
# 0 => addition, 1 => removal.
#
# energy: value of addition/removal energy in atomic units.
#
num_shells num_filled freq method is_hole energy
6 1 0.28 hf 1 0.830392
6 1 0.5 hf 1 1.26446
6 1 1 hf 1 2.12246
6 2 0.1 hf 1 1.06539
6 2 0.28 hf 1 2.14165
6 2 0.5 hf 1 3.21759
6 2 1 hf 1 5.30056
6 3 0.28 hf 1 3.82901
6 3 0.5 hf 1 5.61376
6 3 1 hf 1 9.03793
7 1 0.28 hf 1 0.830313
7 1 0.5 hf 1 1.26444
7 1 1 hf 1 2.1225
7 2 0.1 hf 1 1.05977
7 2 0.28 hf 1 2.13983
7 2 0.5 hf 1 3.21722
7 2 1 hf 1 5.3007
7 3 0.1 hf 1 1.90452
7 3 0.28 hf 1 3.70285
7 3 0.5 hf 1 5.48476
7 3 1 hf 1 8.92028
8 1 0.28 hf 1 0.830313
8 1 0.5 hf 1 1.26444
8 1 1 hf 1 2.1225
8 2 0.1 hf 1 1.05045
8 2 0.28 hf 1 2.13808
8 2 0.5 hf 1 3.21732
8 2 1 hf 1 5.30055
8 3 0.28 hf 1 3.67604
8 3 0.5 hf 1 5.46618
8 3 1 hf 1 8.91184
9 1 0.28 hf 1 0.830306
9 1 0.5 hf 1 1.26443
9 1 1 hf 1 2.1225
9 2 0.1 hf 1 1.04996
9 2 0.28 hf 1 2.1381
9 2 0.5 hf 1 3.2173
9 2 1 hf 1 5.30055
9 3 0.1 hf 1 1.82315
9 3 0.28 hf 1 3.63395
9 3 0.5 hf 1 5.43769
9 3 1 hf 1 8.90116
10 1 0.28 hf 1 0.830306
10 1 0.5 hf 1 1.26443
10 1 1 hf 1 2.1225
10 2 0.1 hf 1 1.04951
10 2 0.28 hf 1 2.13809
10 2 0.5 hf 1 3.21728
10 2 1 hf 1 5.30057
10 3 0.1 hf 1 1.80975
10 3 0.28 hf 1 3.62988
10 3 0.5 hf 1 5.43701
10 3 1 hf 1 8.90122
11 1 0.28 hf 1 0.830306
11 1 0.5 hf 1 1.26443
11 1 1 hf 1 2.1225
11 2 0.1 hf 1 1.04951
11 2 0.28 hf 1 2.13809
11 2 0.5 hf 1 3.21728
11 2 1 hf 1 5.30057
11 3 0.1 hf 1 1.79279
11 3 0.28 hf 1 3.62609
11 3 0.5 hf 1 5.43685
11 3 1 hf 1 8.90088
12 1 0.28 hf 1 0.830306
12 1 0.5 hf 1 1.26443
12 1 1 hf 1 2.1225
12 2 0.1 hf 1 1.04951
12 2 0.28 hf 1 2.13809
12 2 0.5 hf 1 3.21728
12 2 1 hf 1 5.30057
12 3 0.1 hf 1 1.7903
12 3 0.28 hf 1 3.62606
12 3 0.5 hf 1 5.43684
12 3 1 hf 1 8.90088
13 1 0.28 hf 1 0.830306
13 1 0.5 hf 1 1.26443
13 1 1 hf 1 2.1225
13 2 0.1 hf 1 1.04951
13 2 0.28 hf 1 2.13809
13 2 0.5 hf 1 3.21728
13 2 1 hf 1 5.30057
13 3 0.1 hf 1 1.78707
13 3 0.28 hf 1 3.62607
13 3 0.5 hf 1 5.43682
13 3 1 hf 1 8.90088
14 1 0.28 hf 1 0.830306
14 1 0.5 hf 1 1.26443
14 1 1 hf 1 2.1225
14 2 0.1 hf 1 1.04951
14 2 0.28 hf 1 2.13809
14 2 0.5 hf 1 3.21728
14 2 1 hf 1 5.30057
14 3 0.1 hf 1 1.78684
14 3 0.28 hf 1 3.62606
14 3 0.5 hf 1 5.43682
14 3 1 hf 1 8.90088
6 1 0.28 hf+qpt2 1 0.746035
6 1 0.5 hf+qpt2 1 1.17108
6 1 1 hf+qpt2 1 2.02002
6 2 0.1 hf+qpt2 1 1.02976
6 2 0.28 hf+qpt2 1 2.09928
6 2 0.5 hf+qpt2 1 3.17429
6 2 1 hf+qpt2 1 5.25702
6 3 0.28 hf+qpt2 1 3.83436
6 3 0.5 hf+qpt2 1 5.62053
6 3 1 hf+qpt2 1 9.04758
7 1 0.28 hf+qpt2 1 0.742741
7 1 0.5 hf+qpt2 1 1.16719
7 1 1 hf+qpt2 1 2.01523
7 2 0.1 hf+qpt2 1 1.01874
7 2 0.28 hf+qpt2 1 2.09164
7 2 0.5 hf+qpt2 1 3.16653
7 2 1 hf+qpt2 1 5.24744
7 3 0.1 hf+qpt2 1 1.88611
7 3 0.28 hf+qpt2 1 3.69329
7 3 0.5 hf+qpt2 1 5.47542
7 3 1 hf+qpt2 1 8.9103
8 1 0.28 hf+qpt2 1 0.740144
8 1 0.5 hf+qpt2 1 1.16413
8 1 1 hf+qpt2 1 2.01161
8 2 0.1 hf+qpt2 1 1.00733
8 2 0.28 hf+qpt2 1 2.08619
8 2 0.5 hf+qpt2 1 3.16089
8 2 1 hf+qpt2 1 5.23988
8 3 0.28 hf+qpt2 1 3.65661
8 3 0.5 hf+qpt2 1 5.446
8 3 1 hf+qpt2 1 8.89172
9 1 0.28 hf+qpt2 1 0.73808
9 1 0.5 hf+qpt2 1 1.16173
9 1 1 hf+qpt2 1 2.00877
9 2 0.1 hf+qpt2 1 1.0043
