# Ground state energies (HF, MP2, IMSRG)
#
# num_shells: total number of shells in basis.
#
# num_filled: number of shells fully occupied by electrons;
# The number of electrons is given by num_filled * (num_filled + 1).
#
# freq: frequency of the harmonic oscillator potential in atomic units.
#
# energy: value of ground state energy in atomic units.
#
# time: wall time taken to compute the result.
#
num_shells num_filled freq method energy time
5 1 0.28 imsrg 0.998959 2.86402
5 1 1 imsrg 3.0068 2.26653
5 2 0.28 imsrg 7.6456 3.89155
5 2 1 imsrg 20.3009 2.71422
5 3 0.1 imsrg 13.7843 3.71003
5 3 0.28 imsrg 27.1767 3.12139
5 3 1 imsrg 67.0057 2.85022
6 1 0.28 imsrg 0.998287 12.0095
6 1 1 imsrg 3.00274 9.34905
6 2 0.1 imsrg 3.48577 23.2881
6 2 0.28 imsrg 7.58885 15.1526
6 2 1 imsrg 20.2426 10.988
6 3 0.28 imsrg 26.4985 16.2861
6 3 1 imsrg 66.4744 13.0018
7 1 0.28 imsrg 0.997825 42.2828
7 1 1 imsrg 3.00014 31.7399
7 2 0.1 imsrg 3.48125 80.3469
7 2 0.28 imsrg 7.58345 50.8004
7 2 1 imsrg 20.2174 37.1686
7 3 0.1 imsrg 12.6367 65.9458
7 3 0.28 imsrg 25.9251 53.2563
7 3 1 imsrg 65.9924 43.057
8 1 0.28 imsrg 0.997582 124.093
8 1 1 imsrg 2.99837 91.631
8 2 0.1 imsrg 3.49061 207.206
8 2 0.28 imsrg 7.5802 146.64
8 2 1 imsrg 20.202 109.947
8 3 0.28 imsrg 25.7426 170.584
8 3 1 imsrg 65.9112 128.194
9 1 0.28 imsrg 0.997425 325.446
9 1 1 imsrg 2.99709 234.792
9 2 0.1 imsrg 3.4925 559.883
9 2 0.28 imsrg 7.57795 397.654
9 2 1 imsrg 20.1915 275.989
9 3 0.1 imsrg 12.2515 607.015
9 3 0.28 imsrg 25.66 439.012
9 3 1 imsrg 65.8594 325.127
10 1 0.28 imsrg 0.997324 775.469
10 1 1 imsrg 2.99612 566.739
10 2 0.1 imsrg 3.49329 1358.6
10 2 0.28 imsrg 7.57635 934.671
10 2 1 imsrg 20.1841 658.087
10 3 0.1 imsrg 12.2138 1442.77
10 3 0.28 imsrg 25.6484 1009.33
10 3 1 imsrg 65.8264 758.337
11 1 0.28 imsrg 0.997254 1684.74
11 1 1 imsrg 2.99536 1248.48
11 2 0.1 imsrg 3.49398 2843.71
11 2 0.28 imsrg 7.57519 2018.49
11 2 1 imsrg 20.1785 1435.91
11 3 0.1 imsrg 12.2185 2977.05
11 3 0.28 imsrg 25.6409 2205.26
11 3 1 imsrg 65.8035 1662.49
12 1 0.28 imsrg 0.997204 3450.63
12 1 1 imsrg 2.99476 2557.83
12 2 0.1 imsrg 3.49437 5669.67
12 2 0.28 imsrg 7.5743 3974.32
12 2 1 imsrg 20.1742 2898.53
12 3 0.1 imsrg 12.2182 6085.42
12 3 0.28 imsrg 25.6362 4515.25
12 3 1 imsrg 65.7862 3471.54
13 1 0.28 imsrg 0.997167 6645.92
13 1 1 imsrg 2.99426 4799.78
13 2 0.1 imsrg 3.49473 11133.7
13 2 0.28 imsrg 7.57362 7709.73
13 2 1 imsrg 20.1708 5737.72
13 3 0.1 imsrg 12.2201 12428.7
13 3 0.28 imsrg 25.6326 8495.82
13 3 1 imsrg 65.7731 6488.83
14 1 0.28 imsrg 0.997138 12243.1
14 1 1 imsrg 2.99385 8939.8
14 2 0.1 imsrg 3.49502 21302.7
14 2 0.28 imsrg 7.57308 14024.3
14 2 1 imsrg 20.168 10559.4
