# whether the "best" fit (at maximum num_shells) is considered to be a "good"
# fit, as judged by eye
interaction label freq num_filled method good
normal ground 0.1 2 imsrg False
normal add 0.28 6 ccsd+eom False
normal ground 1.0 4 hf False
normal add 0.28 3 imsrg False
normal rm 0.28 3 imsrg True
normal add 1.0 2 imsrg+eom False
normal add 0.28 1 hf False
normal rm 0.5 3 imsrg+qdpt3 False
normal add 1.0 1 ccsd+eom True
normal add 0.28 5 ccsd+eom False
normal ground 0.5 2 hf False
normal add 0.1 2 imsrg+eom False
normal add 1.0 7 ccsd+eom False
normal ground 0.28 5 imsrg False
normal rm 0.28 4 imsrg+qdpt3 True
normal rm 0.28 6 hf+qdpt3 False
normal ground 0.28 4 imsrg True
normal rm 0.1 2 hf+qdpt3 False
normal ground 1.0 3 imsrg True
normal ground 1.0 6 mp2 True
normal rm 0.1 4 hf False
normal add 0.28 1 hf+qdpt3 True
normal ground 0.5 3 imsrg True
normal add 0.1 4 imsrg+qdpt3 False
normal rm 0.5 2 hf False
normal ground 0.28 5 ccsd False
normal add 1.0 3 imsrg False
normal rm 0.28 5 ccsd+eom False
normal ground 1.0 7 hf False
normal ground 0.28 5 mp2 False
normal add 1.0 6 ccsd+eom False
normal ground 0.28 2 hf False
normal ground 1.0 1 mp2 True
normal rm 0.5 1 imsrg True
normal rm 0.28 5 hf+qdpt3 False
normal add 0.5 5 imsrg+eom False
normal rm 1.0 6 imsrg+eom False
normal add 0.1 1 ccsd+eom True
normal rm 1.0 3 imsrg+eom False
normal ground 0.28 1 mp2 True
normal rm 0.28 4 hf False
normal add 1.0 4 imsrg+eom False
normal ground 1.0 5 imsrg True
normal rm 0.28 3 imsrg+qdpt3 True
normal rm 0.28 6 imsrg False
normal rm 1.0 6 hf False
normal add 0.28 3 ccsd+eom True
normal add 0.1 2 imsrg False
normal rm 1.0 5 ccsd+eom True
normal add 0.1 3 hf+qdpt3 False
normal add 0.28 5 imsrg+qdpt3 False
normal add 0.5 1 imsrg False
normal rm 1.0 4 imsrg False
normal ground 0.5 2 mp2 True
normal ground 1.0 3 mp2 True
normal rm 0.1 2 imsrg+eom False
normal rm 0.28 3 ccsd+eom True
normal rm 1.0 5 hf False
normal ground 1.0 5 hf False
normal add 0.28 5 imsrg+eom False
normal add 0.5 2 hf False
normal rm 0.1 3 hf False
normal rm 0.28 5 imsrg False
normal add 1.0 2 hf False
normal ground 0.1 5 imsrg False
normal rm 0.28 1 imsrg+qdpt3 False
normal ground 0.28 5 hf False
normal add 1.0 4 ccsd+eom True
normal rm 0.28 3 hf+qdpt3 False
normal ground 0.28 2 ccsd True
normal rm 0.28 4 hf+qdpt3 False
normal add 0.28 4 hf+qdpt3 False
normal add 1.0 1 hf+qdpt3 False
normal rm 0.1 4 ccsd+eom False
normal add 0.1 3 hf False
normal add 0.5 2 imsrg+qdpt3 False
normal add 0.1 4 hf False
normal add 0.1 4 ccsd+eom False
normal rm 0.5 3 imsrg False
normal rm 0.1 4 hf+qdpt3 False
normal add 0.5 1 hf+qdpt3 False
normal rm 0.28 2 ccsd+eom True
normal ground 0.1 2 ccsd True
normal rm 1.0 4 hf False
normal add 0.28 3 imsrg+eom False
normal add 1.0 5 imsrg+qdpt3 False
normal add 1.0 4 hf False
normal ground 0.28 6 imsrg False
normal ground 0.5 5 hf False
normal add 1.0 7 hf+qdpt3 False
normal add 0.1 5 hf+qdpt3 False
normal add 1.0 3 imsrg+eom False
normal ground 0.5 6 imsrg False
normal rm 0.28 1 hf False
normal ground 0.5 1 mp2 True
normal add 0.5 3 imsrg+qdpt3 False
normal rm 0.28 1 imsrg True
normal rm 1.0 2 hf+qdpt3 True
normal add 1.0 6 imsrg+eom False
normal add 0.28 1 imsrg+qdpt3 True
normal add 1.0 7 hf False
normal rm 1.0 2 hf False
normal add 0.28 6 imsrg False
normal rm 0.1 3 imsrg+qdpt3 False
normal add 0.1 5 hf False
normal rm 0.28 4 imsrg True
normal rm 0.28 2 hf False
normal ground 0.1 2 mp2 True
normal ground 0.5 1 hf False
normal add 0.28 1 ccsd+eom True
normal rm 1.0 5 hf+qdpt3 False
normal ground 1.0 1 ccsd True
normal add 0.28 5 hf False
normal ground 1.0 6 imsrg True
normal ground 0.28 2 mp2 True
normal add 0.28 4 ccsd+eom True
normal ground 0.1 5 ccsd False
normal add 0.28 6 hf+qdpt3 False
normal rm 1.0 7 imsrg False
normal ground 0.1 3 imsrg False
normal rm 0.28 6 hf False
normal rm 0.5 2 hf+qdpt3 False
normal rm 1.0 3 hf+qdpt3 False
normal add 0.5 2 imsrg+eom False
normal add 1.0 3 imsrg+qdpt3 False
normal add 0.28 4 imsrg False
normal add 0.28 1 imsrg True
normal add 0.1 5 imsrg+qdpt3 False
normal add 1.0 3 hf+qdpt3 False
normal ground 1.0 3 hf False
normal add 0.28 2 hf False
normal rm 1.0 3 ccsd+eom True
normal ground 1.0 2 imsrg True
normal rm 0.28 3 imsrg+eom True
normal rm 0.1 3 ccsd+eom False
normal add 0.28 3 imsrg+qdpt3 True
normal ground 1.0 7 ccsd False
normal add 1.0 2 imsrg+qdpt3 True
normal ground 0.1 4 hf False
normal add 1.0 4 imsrg+qdpt3 False
normal rm 0.28 4 ccsd+eom True
normal ground 1.0 1 hf False
normal ground 1.0 4 imsrg True
normal ground 0.5 4 imsrg True
normal add 0.1 5 imsrg False
normal ground 0.28 4 ccsd True
normal rm 0.28 2 imsrg+qdpt3 True
normal ground 1.0 2 ccsd True
normal rm 1.0 5 imsrg True
normal add 1.0 1 imsrg+eom False
normal add 1.0 5 hf False
normal add 0.28 6 imsrg+qdpt3 False
normal add 1.0 4 hf+qdpt3 False
normal add 0.28 2 imsrg+qdpt3 False
normal rm 0.1 5 hf+qdpt3 False
normal rm 0.5 1 hf+qdpt3 False
normal add 1.0 1 imsrg False
normal rm 0.28 2 imsrg+eom False
normal add 1.0 1 imsrg+qdpt3 False
normal add 0.28 4 hf False
normal ground 1.0 7 imsrg False
normal add 0.5 1 hf False
normal add 0.28 6 hf False
normal rm 1.0 7 ccsd+eom False
normal ground 1.0 5 mp2 False
normal rm 0.1 5 hf False
normal add 0.28 2 imsrg+eom False
normal add 0.28 2 hf+qdpt3 False
normal rm 1.0 7 hf+qdpt3 False
normal ground 0.28 6 hf False
normal rm 0.1 4 imsrg+qdpt3 False
normal add 1.0 2 imsrg False
normal rm 1.0 7 imsrg+qdpt3 False
normal rm 1.0 6 imsrg+qdpt3 False
normal rm 0.5 3 hf+qdpt3 False
normal rm 0.1 2 ccsd+eom True
normal ground 0.28 3 imsrg True
normal rm 0.28 2 hf+qdpt3 False
normal ground 0.1 3 ccsd False
normal add 0.1 2 ccsd+eom True
normal ground 0.5 2 imsrg True
normal add 0.1 2 hf False
normal add 0.1 4 imsrg False
normal add 0.5 2 imsrg False
normal add 1.0 1 hf False
normal rm 0.28 5 hf False
normal ground 1.0 2 hf False
normal add 1.0 6 hf False
normal ground 0.1 4 mp2 False
normal ground 0.28 3 ccsd True
normal rm 0.5 3 imsrg+eom True
