# Ground state energies via diffusion Monte Carlo
# Extracted from Jørgen Høgberget's Master thesis, page 114.
freq num_particles energy energy_err
0.01 2 0.073839 0.000002
0.1 2 0.44079 0.00001
0.28 2 1.02164 0.00001
0.5 2 1.65977 0.00001
1.0 2 3.00000 0.00001
0.1 6 3.55385 0.00005
0.28 6 7.60019 0.00006
0.5 6 11.78484 0.00006
1.0 6 20.15932 0.00008
0.1 12 12.26984 0.00008
0.28 12 25.63577 0.00009
0.5 12 39.1596 0.0001
1.0 12 65.7001 0.0001
0.1 20 29.9779 0.0001
0.28 20 61.9268 0.0001
0.5 20 93.8752 0.0001
1.0 20 155.8822 0.0001
0.1 30 60.4205 0.0002
0.28 30 123.9683 0.0002
0.5 30 187.0426 0.0002
1.0 30 308.5627 0.0002
0.1 42 107.6389 0.0002
0.28 42 219.8426 0.0002
0.5 42 330.6306 0.0002
1.0 42 542.9428 0.0008
0.1 56 175.9553 0.0007
0.28 56 358.145 0.002
0.5 56 537.353 0.002
1.0 56 879.3986 0.0006
