# FCI results from Veronica Olsen's thesis
# sections 8.3.1 and 8.3.2
# bare interaction only
num_particles freq num_shells energy
2 0.01 5 0.0738364
2 0.01 10 0.0738351
2 0.01 15 0.0738352
2 0.01 20 0.0738352
2 0.1 5 0.441614
2 0.1 10 0.441135
2 0.1 15 0.441000
2 0.1 20 0.440940
2 0.28 5 1.026588
2 0.28 10 1.023551
2 0.28 15 1.022791
2 0.28 20 1.022456
2 0.5 5 1.669498
2 0.5 10 1.663535
2 0.5 15 1.662046
2 0.5 20 1.661386
2 1.0 5 3.017606
2 1.0 10 3.006938
2 1.0 15 3.004226
2 1.0 20 3.003012
6 0.01 3 1.009487
6 0.01 4 0.856380
6 0.01 5 0.775682
6 0.01 6 0.730679
6 0.01 7 0.708777
6 0.01 8 0.697161
6 0.1 3 4.149560
6 0.1 4 3.797439
6 0.1 5 3.645755
6 0.1 6 3.567998
6 0.1 7 3.559622
6 0.1 8 3.555165
6 0.28 3 8.520412
6 0.28 4 7.851833
6 0.28 5 7.710452
6 0.28 6 7.629581
6 0.28 7 7.620985
6 0.28 8 7.615535
6 0.5 3 12.897229
6 0.5 4 12.036943
6 0.5 5 11.913062
6 0.5 6 11.840364
6 0.5 7 11.825317
6 0.5 8 11.815817
6 1.0 3 21.420589
6 1.0 4 20.415833
6 1.0 5 20.316762
6 1.0 6 20.257196
6 1.0 7 20.232307
6 1.0 8 20.216428
