# term_ids 3 and 4: QDPT2
# term_ids 5 to 22: QDPT3
#
# Functional dependencies:
#
#   * (num_shells, num_filled, freq, method, p, term_id) -> correction
#
interaction num_shells num_filled freq method p term_id correction
normal 2 1 0.28 hf 0 3 -0.06166232993180849
normal 2 1 0.28 hf 0 4 0.0
normal 2 1 0.28 hf 0 5 0.04013275253365692
normal 2 1 0.28 hf 0 6 0.0
normal 2 1 0.28 hf 0 7 0.0
normal 2 1 0.28 hf 0 8 0.0
normal 2 1 0.28 hf 0 9 0.045866002895607855
normal 2 1 0.28 hf 0 10 0.045866002895607855
normal 2 1 0.28 hf 0 11 -0.04586600289560785
normal 2 1 0.28 hf 0 12 0.05733250361950986
normal 2 1 0.28 hf 0 13 0.0
normal 2 1 0.28 hf 0 14 0.0
normal 2 1 0.28 hf 0 15 0.0
normal 2 1 0.28 hf 0 16 0.0
normal 2 1 0.28 hf 0 17 -0.05733250361950986
normal 2 1 0.28 hf 0 18 -0.05733250361950986
normal 2 1 0.28 hf 0 19 -0.05733250361950986
normal 2 1 0.28 hf 0 20 0.0
normal 2 1 0.28 hf 0 21 0.0
normal 2 1 0.28 hf 0 22 0.0
normal 2 1 0.28 hf 4 3 0.0
normal 2 1 0.28 hf 4 4 0.030831164965904247
normal 2 1 0.28 hf 4 5 0.0
normal 2 1 0.28 hf 4 6 0.02006637626682846
normal 2 1 0.28 hf 4 7 -0.020066376266828456
normal 2 1 0.28 hf 4 8 -0.022933001447803934
normal 2 1 0.28 hf 4 9 0.0
normal 2 1 0.28 hf 4 10 0.0
normal 2 1 0.28 hf 4 11 -0.05733250361950984
normal 2 1 0.28 hf 4 12 0.042999377714632435
normal 2 1 0.28 hf 4 13 0.0
normal 2 1 0.28 hf 4 14 0.0
normal 2 1 0.28 hf 4 15 0.0
normal 2 1 0.28 hf 4 16 0.0
normal 2 1 0.28 hf 4 17 0.0
normal 2 1 0.28 hf 4 18 0.0
normal 2 1 0.28 hf 4 19 0.0
normal 2 1 0.28 hf 4 20 0.02866625180975492
normal 2 1 0.28 hf 4 21 0.028666251809754923
normal 2 1 0.28 hf 4 22 0.028666251809754923
normal 2 1 0.28 imsrg 0 3 -1.8505580183670945e-10
normal 2 1 0.28 imsrg 0 4 0.0
normal 2 1 0.28 imsrg 0 5 6.382388209030088e-11
normal 2 1 0.28 imsrg 0 6 0.0
normal 2 1 0.28 imsrg 0 7 0.0
normal 2 1 0.28 imsrg 0 8 0.0
normal 2 1 0.28 imsrg 0 9 7.568106742295144e-11
normal 2 1 0.28 imsrg 0 10 7.568106742295145e-11
normal 2 1 0.28 imsrg 0 11 -7.568106742295145e-11
normal 2 1 0.28 imsrg 0 12 1.3774826856476092e-10
normal 2 1 0.28 imsrg 0 13 0.0
normal 2 1 0.28 imsrg 0 14 0.0
normal 2 1 0.28 imsrg 0 15 0.0
normal 2 1 0.28 imsrg 0 16 0.0
normal 2 1 0.28 imsrg 0 17 -1.3774826856476092e-10
normal 2 1 0.28 imsrg 0 18 -1.3774826856476092e-10
normal 2 1 0.28 imsrg 0 19 -1.3774826856476092e-10
normal 2 1 0.28 imsrg 0 20 0.0
normal 2 1 0.28 imsrg 0 21 0.0
normal 2 1 0.28 imsrg 0 22 0.0
normal 2 1 0.28 imsrg 4 3 0.0
normal 2 1 0.28 imsrg 4 4 9.252790091840096e-11
normal 2 1 0.28 imsrg 4 5 0.0
normal 2 1 0.28 imsrg 4 6 3.191194104516433e-11
normal 2 1 0.28 imsrg 4 7 -3.191194104516433e-11
normal 2 1 0.28 imsrg 4 8 -3.7840533711494634e-11
normal 2 1 0.28 imsrg 4 9 0.0
normal 2 1 0.28 imsrg 4 10 0.0
normal 2 1 0.28 imsrg 4 11 -1.3774826856476097e-10
normal 2 1 0.28 imsrg 4 12 8.41347861853028e-11
normal 2 1 0.28 imsrg 4 13 0.0
normal 2 1 0.28 imsrg 4 14 0.0
normal 2 1 0.28 imsrg 4 15 0.0
normal 2 1 0.28 imsrg 4 16 0.0
normal 2 1 0.28 imsrg 4 17 0.0
normal 2 1 0.28 imsrg 4 18 0.0
normal 2 1 0.28 imsrg 4 19 0.0
normal 2 1 0.28 imsrg 4 20 6.887413428241488e-11
normal 2 1 0.28 imsrg 4 21 6.887413428241488e-11
normal 2 1 0.28 imsrg 4 22 6.887413428241488e-11
normal 2 1 0.5 hf 0 3 -0.06802983477072254
normal 2 1 0.5 hf 0 4 0.0
normal 2 1 0.5 hf 0 5 0.03655543292816563
normal 2 1 0.5 hf 0 6 0.0
normal 2 1 0.5 hf 0 7 0.0
normal 2 1 0.5 hf 0 8 0.0
normal 2 1 0.5 hf 0 9 0.041777637632189245
normal 2 1 0.5 hf 0 10 0.041777637632189245
normal 2 1 0.5 hf 0 11 -0.041777637632189245
normal 2 1 0.5 hf 0 12 0.05222204704023659
normal 2 1 0.5 hf 0 13 0.0
normal 2 1 0.5 hf 0 14 0.0
normal 2 1 0.5 hf 0 15 0.0
normal 2 1 0.5 hf 0 16 0.0
normal 2 1 0.5 hf 0 17 -0.05222204704023659
normal 2 1 0.5 hf 0 18 -0.05222204704023659
normal 2 1 0.5 hf 0 19 -0.052222047040236606
normal 2 1 0.5 hf 0 20 0.0
normal 2 1 0.5 hf 0 21 0.0
normal 2 1 0.5 hf 0 22 0.0
normal 2 1 0.5 hf 4 3 0.0
normal 2 1 0.5 hf 4 4 0.03401491738536127
normal 2 1 0.5 hf 4 5 0.0
normal 2 1 0.5 hf 4 6 0.018277716464082817
normal 2 1 0.5 hf 4 7 -0.018277716464082817
normal 2 1 0.5 hf 4 8 -0.020888818816094622
normal 2 1 0.5 hf 4 9 0.0
normal 2 1 0.5 hf 4 10 0.0
normal 2 1 0.5 hf 4 11 -0.052222047040236606
normal 2 1 0.5 hf 4 12 0.039166535280177495
normal 2 1 0.5 hf 4 13 0.0
normal 2 1 0.5 hf 4 14 0.0
normal 2 1 0.5 hf 4 15 0.0
normal 2 1 0.5 hf 4 16 0.0
normal 2 1 0.5 hf 4 17 0.0
normal 2 1 0.5 hf 4 18 0.0
normal 2 1 0.5 hf 4 19 0.0
normal 2 1 0.5 hf 4 20 0.026111023520118296
normal 2 1 0.5 hf 4 21 0.026111023520118303
normal 2 1 0.5 hf 4 22 0.026111023520118303
normal 2 1 0.5 imsrg 0 3 -3.8954126975178094e-10
normal 2 1 0.5 imsrg 0 4 0.0
normal 2 1 0.5 imsrg 0 5 1.4238532256945286e-10
normal 2 1 0.5 imsrg 0 6 0.0
normal 2 1 0.5 imsrg 0 7 0.0
normal 2 1 0.5 imsrg 0 8 0.0
normal 2 1 0.5 imsrg 0 9 1.6638674606639182e-10
normal 2 1 0.5 imsrg 0 10 1.6638674606639182e-10
normal 2 1 0.5 imsrg 0 11 -1.6638674606639184e-10
normal 2 1 0.5 imsrg 0 12 2.656388768785117e-10
normal 2 1 0.5 imsrg 0 13 0.0
normal 2 1 0.5 imsrg 0 14 0.0
normal 2 1 0.5 imsrg 0 15 0.0
