# iter = 0: without QDPT3 correction
# iter = 1: includes QDPT3 correction
#
# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method, p) -> correction
#
interaction num_shells num_filled freq method p iter energy
normal 2 1 0.28 hf 0 0 0.9431915043956544
normal 2 1 0.28 hf 0 1 0.8528629226540909
normal 2 1 0.28 hf 4 0 1.388989380494568
normal 2 1 0.28 hf 4 1 1.4685531735370558
normal 2 1 0.28 imsrg 0 0 0.8091205242896762
normal 2 1 0.28 imsrg 0 1 0.8091205239686289
normal 2 1 0.28 imsrg 4 0 1.4560248705475578
normal 2 1 0.28 imsrg 4 1 1.456024870755254
normal 2 1 0.5 hf 0 0 1.3862269254527582
normal 2 1 0.5 hf 0 1 1.2920860671619172
normal 2 1 0.5 hf 4 0 2.1077836568159483
normal 2 1 0.5 hf 4 1 2.186187314185511
normal 2 1 0.5 imsrg 0 0 1.2679566090179635
normal 2 1 0.5 imsrg 0 1 1.2679566084059164
normal 2 1 0.5 imsrg 4 0 2.166918815033344
normal 2 1 0.5 imsrg 4 1 2.1669188154513455
normal 2 1 1.0 hf 0 0 2.2533141373155
normal 2 1 1.0 hf 0 1 2.1562687792036535
normal 2 1 1.0 hf 4 0 3.566642671644376
normal 2 1 1.0 hf 4 1 3.641916616732358
normal 2 1 1.0 imsrg 0 0 2.143526076053573
normal 2 1 1.0 imsrg 0 1 2.1435260744787414
normal 2 1 1.0 imsrg 4 0 3.621536702275338
normal 2 1 1.0 imsrg 4 1 3.6215367033653023
normal 3 1 0.1 hf 0 0 0.4055128505560907
normal 3 1 0.1 hf 0 1 0.33621264399610035
normal 3 1 0.1 hf 4 0 0.6408735659115133
normal 3 1 0.1 hf 4 1 0.6244501061284524
normal 3 1 0.1 hf 8 0 0.7563735765503553
normal 3 1 0.1 hf 8 1 0.7246821479986654
normal 3 1 0.1 hf 10 0 0.7142140134792734
normal 3 1 0.1 hf 10 1 0.5898023110997184
normal 3 1 0.1 imsrg 0 0 0.24754890749554773
normal 3 1 0.1 imsrg 0 1 0.2563051969385632
normal 3 1 0.1 imsrg 4 0 0.7191284230238391
normal 3 1 0.1 imsrg 4 1 0.4881250231709637
normal 3 1 0.1 imsrg 8 0 0.7810334671889572
normal 3 1 0.1 imsrg 8 1 0.7480742986300043
normal 3 1 0.1 imsrg 10 0 0.7253225582514811
normal 3 1 0.1 imsrg 10 1 0.5139500610606752
normal 3 1 0.28 hf 0 0 0.8307796752926339
normal 3 1 0.28 hf 0 1 0.750476982565423
normal 3 1 0.28 hf 4 0 1.3246661660613614
normal 3 1 0.28 hf 4 1 1.3078488023859265
normal 3 1 0.28 hf 8 0 1.6161876234083323
normal 3 1 0.28 hf 8 1 1.582856736417108
normal 3 1 0.28 hf 10 0 1.543689237767687
normal 3 1 0.28 hf 10 1 1.3348692192513123
normal 3 1 0.28 imsrg 0 0 0.6887331387985351
normal 3 1 0.28 imsrg 0 1 0.7171211494334315
normal 3 1 0.28 imsrg 4 0 1.3800815006280691
normal 3 1 0.28 imsrg 4 1 1.2836323183820597
normal 3 1 0.28 imsrg 8 0 1.6286368694880047
normal 3 1 0.28 imsrg 8 1 1.5867203903642337
normal 3 1 0.28 imsrg 10 0 1.5457479993497194
normal 3 1 0.28 imsrg 10 1 1.4074922196083568
normal 3 1 0.5 hf 0 0 1.264064331326695
normal 3 1 0.5 hf 0 1 1.1808427783523698
normal 3 1 0.5 hf 4 0 2.0396022291956624
normal 3 1 0.5 hf 4 1 2.0225020795555886
normal 3 1 0.5 hf 8 0 2.543462979229424
normal 3 1 0.5 hf 8 1 2.5072262304682047
normal 3 1 0.5 hf 10 0 2.446905032467295
normal 3 1 0.5 hf 10 1 2.171102380403321
normal 3 1 0.5 imsrg 0 0 1.121612738089226
normal 3 1 0.5 imsrg 0 1 1.1595534274934978
normal 3 1 0.5 imsrg 4 0 2.0914536933983285
normal 3 1 0.5 imsrg 4 1 1.997161796693922
normal 3 1 0.5 imsrg 8 0 2.5552341311175213
normal 3 1 0.5 imsrg 8 1 2.5093966289774015
normal 3 1 0.5 imsrg 10 0 2.448170472066348
normal 3 1 0.5 imsrg 10 1 2.2665377260178983
normal 3 1 1.0 hf 0 0 2.122348904544697
normal 3 1 1.0 hf 0 1 2.0383341123835907
normal 3 1 1.0 hf 4 0 3.4954332171870015
normal 3 1 1.0 hf 4 1 3.4776466174838703
normal 3 1 1.0 hf 8 0 4.482461805017169
normal 3 1 1.0 hf 8 1 4.43625098444083
normal 3 1 1.0 hf 10 0 4.3480349270265695
normal 3 1 1.0 hf 10 1 3.9650355744238825
normal 3 1 1.0 imsrg 0 0 1.9815700712977569
normal 3 1 1.0 imsrg 0 1 2.027216616387479
normal 3 1 1.0 imsrg 4 0 3.5451580300541443
normal 3 1 1.0 imsrg 4 1 3.4528767743021485
normal 3 1 1.0 imsrg 8 0 4.494505900144621
normal 3 1 1.0 imsrg 8 1 4.440457902032845
normal 3 1 1.0 imsrg 10 0 4.349232325363149
normal 3 1 1.0 imsrg 10 1 4.083086787517256
normal 3 2 0.5 hf 0 0 3.1463605088060906
normal 3 2 0.5 hf 0 1 3.8534672899926385
normal 3 2 0.5 hf 4 0 3.590372365658
normal 3 2 0.5 hf 4 1 3.6213386797549467
normal 3 2 0.5 hf 8 0 4.517525410237199
normal 3 2 0.5 hf 8 1 4.469708523685935
normal 3 2 0.5 hf 10 0 4.2152691314857
normal 3 2 0.5 hf 10 1 4.3252969429731625
normal 3 2 0.5 imsrg 0 0 3.126992171284961
normal 3 2 0.5 imsrg 0 1 3.5569284543982813
normal 3 2 0.5 imsrg 4 0 3.518770272212063
normal 3 2 0.5 imsrg 4 1 3.6014582309436136
normal 3 2 0.5 imsrg 8 0 4.537010197685353
normal 3 2 0.5 imsrg 8 1 4.4788431964110496
normal 3 2 0.5 imsrg 10 0 4.294126701523153
normal 3 2 0.5 imsrg 10 1 4.289701936133906
normal 3 2 1.0 hf 0 0 4.878787138326005
normal 3 2 1.0 hf 0 1 5.878787138326005
normal 3 2 1.0 hf 4 0 5.719876698921831
normal 3 2 1.0 hf 4 1 5.747405306983351
normal 3 2 1.0 hf 8 0 7.240942461809929
normal 3 2 1.0 hf 8 1 7.201308179242907
normal 3 2 1.0 hf 10 0 6.8651394361000335
normal 3 2 1.0 hf 10 1 6.970918272146636
normal 3 2 1.0 imsrg 0 0 4.855367195911569
normal 3 2 1.0 imsrg 0 1 5.4726338263633325
normal 3 2 1.0 imsrg 4 0 5.647757197704393
normal 3 2 1.0 imsrg 4 1 5.73388038739659
normal 3 2 1.0 imsrg 8 0 7.27217225455111
normal 3 2 1.0 imsrg 8 1 7.207099563848904
normal 3 2 1.0 imsrg 10 0 6.945711729434214
normal 3 2 1.0 imsrg 10 1 6.9395006152335545
normal 4 1 0.1 hf 0 0 0.4055128505560907
normal 4 1 0.1 hf 0 1 0.33912549082520127
normal 4 1 0.1 hf 4 0 0.6017731571910564
normal 4 1 0.1 hf 4 1 0.5872874095379408
normal 4 1 0.1 hf 8 0 0.7563735765503553
normal 4 1 0.1 hf 8 1 0.5404310897152501
normal 4 1 0.1 hf 10 0 0.7142140134792734
normal 4 1 0.1 hf 10 1 0.4708968291533897
normal 4 1 0.1 imsrg 0 0 0.25434029707721967
normal 4 1 0.1 imsrg 0 1 0.2652080661141626
normal 4 1 0.1 imsrg 4 0 0.6455803292777618
normal 4 1 0.1 imsrg 4 1 0.5323143491266286
normal 4 1 0.1 imsrg 8 0 0.774096249091743
normal 4 1 0.1 imsrg 8 1 0.6508785744094081
normal 4 1 0.1 imsrg 10 0 0.7213842249850828
normal 4 1 0.1 imsrg 10 1 0.48637888313573213
normal 4 1 0.28 hf 0 0 0.8307796752926341
normal 4 1 0.28 hf 0 1 0.7499411275955452
normal 4 1 0.28 hf 4 0 1.2739768372308262
normal 4 1 0.28 hf 4 1 1.2553037627845731
normal 4 1 0.28 hf 8 0 1.6161876234083323
normal 4 1 0.28 hf 8 1 1.4202342299947488
normal 4 1 0.28 hf 10 0 1.543689237767687
normal 4 1 0.28 hf 10 1 1.2172805477957716
normal 4 1 0.28 imsrg 0 0 0.6911385400076245
normal 4 1 0.28 imsrg 0 1 0.7162746703627682
normal 4 1 0.28 imsrg 4 0 1.3166274824477773
normal 4 1 0.28 imsrg 4 1 1.2411339553655771
normal 4 1 0.28 imsrg 8 0 1.6331261701671542
normal 4 1 0.28 imsrg 8 1 1.5224919956935985
normal 4 1 0.28 imsrg 10 0 1.5473763495125086
normal 4 1 0.28 imsrg 10 1 1.3807296826095452
normal 4 1 0.5 hf 0 0 1.264064331326695
normal 4 1 0.5 hf 0 1 1.176492329915028
normal 4 1 0.5 hf 4 0 1.9832392218349288
normal 4 1 0.5 hf 4 1 1.9628262220950898
normal 4 1 0.5 hf 8 0 2.543462979229424
normal 4 1 0.5 hf 8 1 2.3530135704220796
normal 4 1 0.5 hf 10 0 2.446905032467295
normal 4 1 0.5 hf 10 1 2.054481589544052
normal 4 1 0.5 imsrg 0 0 1.1192063705237452
normal 4 1 0.5 imsrg 0 1 1.152541203074924
normal 4 1 0.5 imsrg 4 0 2.0276126049720817
normal 4 1 0.5 imsrg 4 1 1.944296825738817
normal 4 1 0.5 imsrg 8 0 2.559665011673823
normal 4 1 0.5 imsrg 8 1 2.4381322854422036
normal 4 1 0.5 imsrg 10 0 2.449908395261198
normal 4 1 0.5 imsrg 10 1 2.2357954740358728
normal 4 1 1.0 hf 0 0 2.1223489045455874
normal 4 1 1.0 hf 0 1 2.028381159736461
normal 4 1 1.0 hf 4 0 3.4335521795272412
normal 4 1 1.0 hf 4 1 3.411456664938348
normal 4 1 1.0 hf 8 0 4.482461805017872
normal 4 1 1.0 hf 8 1 4.28949477215772
normal 4 1 1.0 hf 10 0 4.3480349270268555
normal 4 1 1.0 hf 10 1 3.8493189348901193
normal 4 1 1.0 imsrg 0 0 1.9723712097524937
normal 4 1 1.0 imsrg 0 1 2.0132578815021414
normal 4 1 1.0 imsrg 4 0 3.4800083100703563
normal 4 1 1.0 imsrg 4 1 3.389962019634082
normal 4 1 1.0 imsrg 8 0 4.497976828366552
normal 4 1 1.0 imsrg 8 1 4.359841233543163
normal 4 1 1.0 imsrg 10 0 4.350686285547096
normal 4 1 1.0 imsrg 10 1 4.0466817361954135
normal 4 2 0.1 hf 0 0 1.0796798842998272
normal 4 2 0.1 hf 0 1 1.1831344957823726
normal 4 2 0.1 hf 4 0 1.1407305835324315
normal 4 2 0.1 hf 4 1 1.1842578201026788
normal 4 2 0.1 hf 8 0 1.4246235480844218
normal 4 2 0.1 hf 8 1 1.404253317087621
normal 4 2 0.1 hf 10 0 1.4049358919477575
normal 4 2 0.1 hf 10 1 1.458278242989828
normal 4 2 0.1 hf 16 0 1.5292414631946265
normal 4 2 0.1 hf 16 1 1.493545612699349
normal 4 2 0.1 imsrg 0 0 0.9988510554619686
normal 4 2 0.1 imsrg 0 1 1.080882858581368
normal 4 2 0.1 imsrg 4 0 1.0676059837020515
normal 4 2 0.1 imsrg 4 1 1.1321845554617513
normal 4 2 0.1 imsrg 8 0 1.4619437531197732
normal 4 2 0.1 imsrg 8 1 1.3809215554543552
normal 4 2 0.1 imsrg 10 0 1.4773695056586063
normal 4 2 0.1 imsrg 10 1 1.435374303961176
normal 4 2 0.1 imsrg 16 0 1.554917145941229
normal 4 2 0.1 imsrg 16 1 1.4810355243486342
normal 4 2 0.28 hf 0 0 2.023195958773606
normal 4 2 0.28 hf 0 1 2.236472192962338
normal 4 2 0.28 hf 4 0 2.2148989303768887
normal 4 2 0.28 hf 4 1 2.2470954967320376
normal 4 2 0.28 hf 8 0 2.7984694576566143
normal 4 2 0.28 hf 8 1 2.7509932268640194
normal 4 2 0.28 hf 10 0 2.7364642071595573
normal 4 2 0.28 hf 10 1 2.790764015984476
normal 4 2 0.28 hf 16 0 3.0536430453715853
normal 4 2 0.28 hf 16 1 2.9890050076026067
normal 4 2 0.28 imsrg 0 0 1.935356284202269
normal 4 2 0.28 imsrg 0 1 2.1017049913068253
normal 4 2 0.28 imsrg 4 0 2.1155289586608044
normal 4 2 0.28 imsrg 4 1 2.1953979126893235
normal 4 2 0.28 imsrg 8 0 2.851989200671174
normal 4 2 0.28 imsrg 8 1 2.7273460413413764
normal 4 2 0.28 imsrg 10 0 2.821367595389698
normal 4 2 0.28 imsrg 10 1 2.7541700116498156
normal 4 2 0.28 imsrg 16 0 3.0849953918699016
normal 4 2 0.28 imsrg 16 1 2.985793776424247
normal 4 2 0.5 hf 0 0 2.919551584286019
normal 4 2 0.5 hf 0 1 3.2267293149240865
normal 4 2 0.5 hf 4 0 3.279039345695351
normal 4 2 0.5 hf 4 1 3.2993062721524344
normal 4 2 0.5 hf 8 0 4.172481642769667
normal 4 2 0.5 hf 8 1 4.1113255121548935
normal 4 2 0.5 hf 10 0 4.071042704870498
normal 4 2 0.5 hf 10 1 4.120094174213542
normal 4 2 0.5 hf 16 0 4.6133674697067155
normal 4 2 0.5 hf 16 1 4.526251565641778
normal 4 2 0.5 imsrg 0 0 2.827141408883964
normal 4 2 0.5 imsrg 0 1 3.066380402582103
normal 4 2 0.5 imsrg 4 0 3.164152099014747
normal 4 2 0.5 imsrg 4 1 3.2536791471703967
normal 4 2 0.5 imsrg 8 0 4.231004263186525
normal 4 2 0.5 imsrg 8 1 4.088603187392246
normal 4 2 0.5 imsrg 10 0 4.161133491276385
normal 4 2 0.5 imsrg 10 1 4.080772526215635
normal 4 2 0.5 imsrg 16 0 4.644673811902744
normal 4 2 0.5 imsrg 16 1 4.531216427250362
normal 4 2 1.0 hf 0 0 4.582622862062466
normal 4 2 1.0 hf 0 1 5.04706835376804
normal 4 2 1.0 hf 4 0 5.341281984631984
normal 4 2 1.0 hf 4 1 5.345651478686082
normal 4 2 1.0 hf 8 0 6.86420869633129
normal 4 2 1.0 hf 8 1 6.791738867572082
normal 4 2 1.0 hf 10 0 6.696364843187897
normal 4 2 1.0 hf 10 1 6.734676468933662
normal 4 2 1.0 hf 16 0 7.73790684060476
normal 4 2 1.0 hf 16 1 7.612444950109113
normal 4 2 1.0 imsrg 0 0 4.48618330066035
normal 4 2 1.0 imsrg 0 1 4.849094179413061
normal 4 2 1.0 imsrg 4 0 5.209971902749051
normal 4 2 1.0 imsrg 4 1 5.310256484433691
normal 4 2 1.0 imsrg 8 0 6.926257069791003
normal 4 2 1.0 imsrg 8 1 6.770938688811454
normal 4 2 1.0 imsrg 10 0 6.790356257422299
normal 4 2 1.0 imsrg 10 1 6.696677291035211
normal 4 2 1.0 imsrg 16 0 7.76788190302146
normal 4 2 1.0 imsrg 16 1 7.631865597285196
normal 4 3 0.5 hf 4 0 5.599951114413538
normal 4 3 0.5 hf 4 1 6.307057895600085
normal 4 3 0.5 hf 8 0 6.582328956109738
normal 4 3 0.5 hf 8 1 6.49581641481932
normal 4 3 0.5 hf 10 0 6.284442138338227
normal 4 3 0.5 hf 10 1 6.2833053718310055
normal 4 3 0.5 hf 16 0 7.407746606339889
normal 4 3 0.5 hf 16 1 7.49675328919899
normal 4 3 0.5 imsrg 4 0 5.586443873313851
normal 4 3 0.5 imsrg 4 1 6.293550654500398
normal 4 3 0.5 imsrg 8 0 6.440290054180789
normal 4 3 0.5 imsrg 8 1 6.474035536083757
normal 4 3 0.5 imsrg 10 0 6.166020086698255
normal 4 3 0.5 imsrg 10 1 6.239067799464516
normal 4 3 0.5 imsrg 16 0 7.50303277071962
normal 4 3 0.5 imsrg 16 1 7.486292353285166
normal 4 3 1.0 hf 4 0 8.712266851704742
normal 4 3 1.0 hf 4 1 9.712266851704742
normal 4 3 1.0 hf 8 0 10.142675528345674
normal 4 3 1.0 hf 8 1 10.10046351266977
normal 4 3 1.0 hf 10 0 9.819540395318038
normal 4 3 1.0 hf 10 1 9.828355510182758
normal 4 3 1.0 hf 16 0 11.559579923972557
normal 4 3 1.0 hf 16 1 11.617942682167772
normal 4 3 1.0 imsrg 4 0 8.694102484428763
normal 4 3 1.0 imsrg 4 1 9.694102484428763
normal 4 3 1.0 imsrg 8 0 10.029348076789304
normal 4 3 1.0 imsrg 8 1 10.095227903238525
normal 4 3 1.0 imsrg 10 0 9.7161790700271
normal 4 3 1.0 imsrg 10 1 9.806368127102585
normal 4 3 1.0 imsrg 16 0 11.639263422238976
normal 4 3 1.0 imsrg 16 1 11.608538309929349
normal 5 1 0.28 hf 0 0 0.8303920535459853
normal 5 1 0.28 hf 0 1 0.7504004384059082
normal 5 1 0.28 hf 4 0 1.2734678196623241
normal 5 1 0.28 hf 4 1 1.253525081223681
normal 5 1 0.28 hf 8 0 1.5388521045594752
normal 5 1 0.28 hf 8 1 1.4729649561789684
normal 5 1 0.28 hf 10 0 1.4951228676470165
normal 5 1 0.28 hf 10 1 1.334171052727962
normal 5 1 0.28 imsrg 0 0 0.69107898946002
