# Addition and removal energies using IMSRG
#
# is_hole: 0 => addition energy, 1 => removal energy
#
num_shells	num_filled	freq	method	is_hole	energy
2	1	0.28	HF	1	0.9431915043956544
2	1	0.28	HF	0	1.388989380494568
2	1	0.28	HF+QPT2	1	0.8815291744638458
2	1	0.28	HF+QPT2	0	1.4198205454604724
2	1	0.28	HF+QPT3	1	0.8528629226540909
2	1	0.28	HF+QPT3	0	1.4685531735370558
2	1	0.28	IMSRG	1	0.8091205242896762
2	1	0.28	IMSRG	0	1.4560248705475578
2	1	0.28	IMSRG+QPT2	1	0.8091205241046203
2	1	0.28	IMSRG+QPT2	0	1.4560248706400858
2	1	0.28	IMSRG+QPT3	1	0.8091205239686288
2	1	0.28	IMSRG+QPT3	0	1.456024870755254
2	1	0.5	HF	1	1.3862269254527582
2	1	0.5	HF	0	2.1077836568159483
2	1	0.5	HF+QPT2	1	1.3181970906820357
2	1	0.5	HF+QPT2	0	2.1417985742013097
2	1	0.5	HF+QPT3	1	1.2920860671619174
2	1	0.5	HF+QPT3	0	2.186187314185511
2	1	0.5	IMSRG	1	1.2679566090179635
2	1	0.5	IMSRG	0	2.166918815033344
2	1	0.5	IMSRG+QPT2	1	1.2679566086284224
2	1	0.5	IMSRG+QPT2	0	2.1669188152281147
2	1	0.5	IMSRG+QPT3	1	1.2679566084059166
2	1	0.5	IMSRG+QPT3	0	2.1669188154513455
2	1	1.0	HF	1	2.2533141373155
2	1	1.0	HF	0	3.566642671644376
2	1	1.0	HF+QPT2	1	2.1785615008970356
2	1	1.0	HF+QPT2	0	3.6040189898536084
2	1	1.0	HF+QPT3	1	2.1562687792036535
2	1	1.0	HF+QPT3	0	3.641916616732358
2	1	1.0	IMSRG	1	2.143526076053573
2	1	1.0	IMSRG	0	3.621536702275338
2	1	1.0	IMSRG+QPT2	1	2.143526074939479
2	1	1.0	IMSRG+QPT2	0	3.621536702832385
2	1	1.0	IMSRG+QPT3	1	2.1435260744787414
2	1	1.0	IMSRG+QPT3	0	3.6215367033653023
3	1	0.1	HF	1	0.40551285055609076
3	1	0.1	HF	0	0.6408735659115133
3	1	0.1	HF+QPT2	1	0.3471516965769013
3	1	0.1	HF+QPT2	0	0.6076403751599939
3	1	0.1	HF+QPT3	1	0.33621264399610035
3	1	0.1	HF+QPT3	0	0.6244501061284524
3	1	0.1	IMSRG	1	0.2475489074955488
3	1	0.1	IMSRG	0	0.7191284230238303
3	1	0.1	IMSRG+QPT2	1	0.25269550058546114
3	1	0.1	IMSRG+QPT2	0	0.5677508207840548
3	1	0.1	IMSRG+QPT3	1	0.25630519693856424
3	1	0.1	IMSRG+QPT3	0	0.4881250231708569
3	1	0.28	HF	1	0.830779675292634
3	1	0.28	HF	0	1.3246661660613614
3	1	0.28	HF+QPT2	1	0.7632207827448465
3	1	0.28	HF+QPT2	0	1.2881711152785587
3	1	0.28	HF+QPT3	1	0.7504769825654231
3	1	0.28	HF+QPT3	0	1.3078488023859267
3	1	0.28	IMSRG	1	0.6887331387985351
3	1	0.28	IMSRG	0	1.3800815006280678
3	1	0.28	IMSRG+QPT2	1	0.7077393108065586
3	1	0.28	IMSRG+QPT2	0	1.3098476538810186
3	1	0.28	IMSRG+QPT3	1	0.7171211494334314
3	1	0.28	IMSRG+QPT3	0	1.2836323183820588
3	1	0.5	HF	1	1.264064331326695
3	1	0.5	HF	0	2.0396022291956624
3	1	0.5	HF+QPT2	1	1.1939960234309783
3	1	0.5	HF+QPT2	0	2.0028399262145804
3	1	0.5	HF+QPT3	1	1.1808427783523698
3	1	0.5	HF+QPT3	0	2.0225020795555886
3	1	0.5	IMSRG	1	1.1216127380892267
3	1	0.5	IMSRG	0	2.091453693398327
3	1	0.5	IMSRG+QPT2	1	1.1492643944325753
3	1	0.5	IMSRG+QPT2	0	2.018411862021106
3	1	0.5	IMSRG+QPT3	1	1.1595534274934984
3	1	0.5	IMSRG+QPT3	0	1.9971617966939181
3	1	1.0	HF	1	2.1223489045446975
3	1	1.0	HF	0	3.495433217187001
3	1	1.0	HF+QPT2	1	2.05113127195946
3	1	1.0	HF+QPT2	0	3.459427335698756
3	1	1.0	HF+QPT3	1	2.038334112383591
3	1	1.0	HF+QPT3	0	3.47764661748387
3	1	1.0	IMSRG	1	1.981570071297757
3	1	1.0	IMSRG	0	3.5451580300541443
3	1	1.0	IMSRG+QPT2	1	2.018134079040691
3	1	1.0	IMSRG+QPT2	0	3.468986690471844
3	1	1.0	IMSRG+QPT3	1	2.027216616387479
3	1	1.0	IMSRG+QPT3	0	3.4528767743021485
3	2	0.5	HF	1	3.590372365658
3	2	0.5	HF	0	4.215269131485699
3	2	0.5	HF+QPT2	1	3.6145398452312243
3	2	0.5	HF+QPT2	0	4.275523036218325
3	2	0.5	HF+QPT3	1	3.6213386797549476
3	2	0.5	HF+QPT3	0	4.3252969429731625
3	2	0.5	IMSRG	1	3.5187702722120746
3	2	0.5	IMSRG	0	4.294126701523151
3	2	0.5	IMSRG+QPT2	1	3.594865699367574
3	2	0.5	IMSRG+QPT2	0	4.290426287821759
3	2	0.5	IMSRG+QPT3	1	3.6014582309436265
3	2	0.5	IMSRG+QPT3	0	4.289701936133904
3	2	1.0	HF	1	5.719876698921831
3	2	1.0	HF	0	6.865139436100033
3	2	1.0	HF+QPT2	1	5.74492809825593
3	2	1.0	HF+QPT2	0	6.928540002265061
3	2	1.0	HF+QPT3	1	5.747405306983352
3	2	1.0	HF+QPT3	0	6.970918272146635
3	2	1.0	IMSRG	1	5.647757194842467
3	2	1.0	IMSRG	0	6.945711742737166
3	2	1.0	IMSRG+QPT2	1	5.730323411818466
3	2	1.0	IMSRG+QPT2	0	6.9404842545674
3	2	1.0	IMSRG+QPT3	1	5.733880385306876
3	2	1.0	IMSRG+QPT3	0	6.9395006288116425
4	1	0.1	HF	1	0.40551285055609076
4	1	0.1	HF	0	0.6017731571910563
4	1	0.1	HF+QPT2	1	0.3412748611404236
4	1	0.1	HF+QPT2	0	0.559225202341469
4	1	0.1	HF+QPT3	1	0.3391254908252011
4	1	0.1	HF+QPT3	0	0.5872874095379406
4	1	0.1	IMSRG	1	0.2543402970772201
4	1	0.1	IMSRG	0	0.6455803292777614
4	1	0.1	IMSRG+QPT2	1	0.26070601389495335
4	1	0.1	IMSRG+QPT2	0	0.5548045749191886
4	1	0.1	IMSRG+QPT3	1	0.265208066114163
4	1	0.1	IMSRG+QPT3	0	0.5323143491266283
4	1	0.28	HF	1	0.8307796752926341
4	1	0.28	HF	0	1.2739768372308262
