# num_shells num_filled freq ml p   label energy
          10          5  1.0  0  25 rm    17.08763717544738
          10          5  1.0  0  48 add   19.716148654564602
          10          5  1.0  1  17 rm    16.33456646025879
          10          5  1.0  1  34 add   18.509814481953917
          10          5  1.0  2  27 rm    17.03846484236729
          10          5  1.0  2  46 add   19.645052676293083
          10          5 0.28  0  25 rm    7.354292351247299
          10          5 0.28  0  48 add   8.461680613100308
          10          5 0.28  1  17 rm    7.088369871773596
          10          5 0.28  1  34 add   8.055666202528602
          10          5 0.28  2  27 rm    7.3253537114899165
          10          5 0.28  2  46 add   8.427037097826918
          10          6  1.0  0  25 rm    21.56175885797962
          10          6  1.0  0  48 add   24.297928488856247
          10          6  1.0  1  37 rm    22.23268944545659
          10          6  1.0  1  62 add   25.040973362185916
          10          6  1.0  2  27 rm    21.472874874975783
          10          6  1.0  2  46 add   24.169102135131222
          11          5  0.1  0  25 rm    3.7411343355826454
          11          5  0.1  0  48 add   4.263644015514186
          11          5  0.1  1  17 rm    3.6778067879338394
          11          5  0.1  1  34 add   4.202484150230532
          11          5  0.1  2  27 rm    3.73092656814949
          11          5  0.1  2  46 add   4.254479664383284
          11          5  1.0  0  25 rm    16.867725817251266
          11          5  1.0  0  48 add   19.090940594058587
          11          5  1.0  1  17 rm    16.211285063851495
          11          5  1.0  1  34 add   18.380043249535507
          11          5  1.0  2  27 rm    16.840864117631
          11          5  1.0  2  46 add   19.049424150783526
          11          5 0.28  0  25 rm    7.127998559370626
          11          5 0.28  0  48 add   8.073921095704584
          11          5 0.28  1  17 rm    6.964889037119173
          11          5 0.28  1  34 add   7.886837460761669
          11          5 0.28  2  27 rm    7.115149346740029
          11          5 0.28  2  46 add   8.055406322835788
          11          6  1.0  0  25 rm    21.072587293187407
          11          6  1.0  0  48 add   23.433956366780652
          11          6  1.0  1  37 rm    21.931934551585705
          11          6  1.0  1  62 add   24.779912789352803
          11          6  1.0  2  27 rm    21.026035604330477
          11          6  1.0  2  46 add   23.34437172227698
          11          7  1.0  0  49 rm    27.82694402929236
          11          7  1.0  0  80 add   30.83209702158018
          11          7  1.0  1  37 rm    27.075632082802127
          11          7  1.0  1  62 add   30.02773775528399
          11          7  1.0  2  51 rm    27.718280928338274
          11          7  1.0  2  78 add   30.744557177393343
          12          5  1.0  0  25 rm    16.82519398090436
          12          5  1.0  0  48 add   19.069056364414877
          12          5  1.0  1  17 rm    16.156452887278597
          12          5  1.0  1  34 add   18.20829107779464
          12          5  1.0  2  27 rm    16.79695105173973
          12          5  1.0  2  46 add   19.025329485568363
          12          5 0.28  0  25 rm    7.033545049531758
          12          5 0.28  0  48 add   8.002954147476162
          12          5 0.28  1  17 rm    6.8402253660359795
          12          5 0.28  1  34 add   7.696582201789484
          12          5 0.28  2  27 rm    7.025165763519799
          12          5 0.28  2  46 add   7.98006998922123
          12          6  1.0  0  25 rm    20.865561393494605
          12          6  1.0  0  48 add   23.166230990914435
          12          6  1.0  1  37 rm    21.50110784163451
          12          6  1.0  1  62 add   23.85777750920792
          12          6  1.0  2  27 rm    20.84111249672417
          12          6  1.0  2  46 add   23.102014543115693
          12          6 0.28  0  25 rm    9.174206782364406
          12          6 0.28  0  48 add   10.179078896744898
          12          6 0.28  1  37 rm    9.356568109420465
          12          6 0.28  1  62 add   10.364342079868212
          12          6 0.28  2  27 rm    9.149650750417985
          12          6 0.28  2  46 add   10.15210976444805
          13          5  0.1  0  25 rm    3.556341530674811
          13          5  0.1  0  48 add   4.03382347878441
          13          5  0.1  1  17 rm    3.4942609717299082
          13          5  0.1  1  34 add   3.973817449260377
          13          5  0.1  2  27 rm    3.552042103798979
          13          5  0.1  2  46 add   4.024432553234104
          13          5  1.0  0  25 rm    16.783106487119714
          13          5  1.0  0  48 add   18.865857043290763
          13          5  1.0  1  17 rm    16.118277137550322
          13          5  1.0  1  34 add   18.181323047141092
          13          5  1.0  2  27 rm    16.751074705413263
          13          5  1.0  2  46 add   18.83361360899813
          13          5 0.28  0  25 rm    6.9358658006880605
          13          5 0.28  0  48 add   7.791095712893868
          13          5 0.28  1  17 rm    6.7698849105328565
          13          5 0.28  1  34 add   7.618837451304518
          13          5 0.28  2  27 rm    6.925276278338465
          13          5 0.28  2  46 add   7.773316115865322
          13          6  1.0  0  25 rm    20.71074395769884
          13          6  1.0  0  48 add   22.811815227107747
          13          6  1.0  1  37 rm    21.394864462808034
          13          6  1.0  1  62 add   23.782104994361422
          13          6  1.0  2  27 rm    20.690071711812017
          13          6  1.0  2  46 add   22.756355653962896
          13          7  1.0  0  49 rm    26.586136907925173
          13          7  1.0  0  80 add   29.114765050035697
          13          7  1.0  1  37 rm    25.92487151841443
          13          7  1.0  1  62 add   28.38829286358475
          13          7  1.0  2  51 rm    26.54713888623149
          13          7  1.0  2  78 add   29.070072974203498
          14          5  0.1  0  25 rm    3.487905745332862
          14          5  0.1  0  48 add   3.9817527477644057
          14          5  0.1  1  17 rm    3.4200492458919483
          14          5  0.1  1  34 add   3.885201891091551
          14          5  0.1  2  27 rm    3.4857136505186537
          14          5  0.1  2  46 add   3.9717087055941738
          14          5  1.0  0  25 rm    16.776031925989592
          14          5  1.0  0  48 add   18.864205952635245
          14          5  1.0  1  17 rm    16.111524162005754
          14          5  1.0  1  34 add   18.15220680789878
          14          5  1.0  2  27 rm    16.74426715397565
          14          5  1.0  2  46 add   18.832510221098296
          14          5 0.28  0  25 rm    6.887999174104246
          14          5 0.28  0  48 add   7.760161997820582
          14          5 0.28  1  17 rm    6.7184630800487355
          14          5 0.28  1  34 add   7.526056053612509
          14          5 0.28  2  27 rm    6.87997792072956
          14          5 0.28  2  46 add   7.744141222167245
          14          6  0.1  0  25 rm    4.6670971574682785
          14          6  0.1  0  48 add   5.1915997540685375
          14          6  0.1  1  37 rm    4.7289582613474295
          14          6  0.1  1  62 add   5.244201073217512
          14          6  0.1  2  27 rm    4.657828436234664
          14          6  0.1  2  46 add   5.176169768938528
          14          6  1.0  0  25 rm    20.62614457182011
          14          6  1.0  0  48 add   22.727039161615505
          14          6  1.0  1  37 rm    21.25198432611735
          14          6  1.0  1  62 add   23.375528328068203
          14          6  1.0  2  27 rm    20.59871789974345
          14          6  1.0  2  46 add   22.67119887704508
          14          6 0.28  0  25 rm    8.834878601328708
          14          6 0.28  0  48 add   9.750264633292144
          14          6 0.28  1  37 rm    8.991349102265955
          14          6 0.28  1  62 add   9.912693676681654
          14          6 0.28  2  27 rm    8.82334147877459
          14          6 0.28  2  46 add   9.71634763423436
          14          7  1.0  0  49 rm    26.37952415074281
          14          7  1.0  0  80 add   28.944642597294564
          14          7  1.0  1  37 rm    25.59151181229877
          14          7  1.0  1  62 add   27.80841062704321
          14          7  1.0  2  51 rm    26.344115417906853
          14          7  1.0  2  78 add   28.89540498047674
          15          5  0.1  0  25 rm    3.436524456658064
          15          5  0.1  0  48 add   3.888893496478028
          15          5  0.1  1  17 rm    3.3787882107378056
          15          5  0.1  1  34 add   3.838198453647112
