num_shells num_filled freq ml p   label energy
          10          2  0.1  0   8 add   1.151935808725043
          10          2  0.1  0   1 rm    0.8914242634852666
          10          2  0.1  1  14 add   1.2125520558100507
          10          2  0.1  1   5 rm    0.9436196794958112
          10          2  0.1  2   7 add   1.1249367754360442
          10          2 0.28  0   8 add   2.3722463154873825
          10          2 0.28  0   1 rm    1.7328786157395102
          10          2 0.28  1  14 add   2.5674931613167287
          10          2 0.28  1   5 rm    1.912228184367656
          10          2 0.28  2   7 add   2.3210079392405607
          10          3  0.1  0  24 add   1.9201481756476075
          10          3  0.1  0   9 rm    1.6773130935185936
          10          3  0.1  1  14 add   1.8517613056450255
          10          3  0.1  1   5 rm    1.6183841497645695
          10          3  0.1  2  22 add   1.9187050406258348
          10          3  0.1  2  11 rm    1.6630489919649074
          10          3  1.0  0  24 add   10.143435681125364
          10          3  1.0  0   9 rm    8.207319270884426
          10          3  1.0  1  14 add   9.380150054508075
          10          3  1.0  1   5 rm    7.467765951752579
          10          3  1.0  2  22 add   10.107267226447107
          10          3  1.0  2  11 rm    8.137130157878095
          10          4  0.1  0  24 add   2.7367298570700886
          10          4  0.1  0   9 rm    2.4744393044239357
          10          4  0.1  1  34 add   2.79409031135959
          10          4  0.1  1  17 rm    2.5289925799946777
          10          4  0.1  2  22 add   2.7163847001972687
          10          4  0.1  2  11 rm    2.45751984325565
          10          4 0.28  0  24 add   5.36571964784791
          10          4 0.28  0   9 rm    4.816211411568314
          10          4 0.28  1  34 add   5.537685063659182
          10          4 0.28  1  17 rm    4.972007967314373
          10          4 0.28  2  22 add   5.33489591481118
          10          4 0.28  2  11 rm    4.7931508433521515
          11          2  0.1  0   8 add   1.1519035924665597
          11          2  0.1  0   1 rm    0.8913425504574638
          11          2  0.1  1  14 add   1.2125149710967575
          11          2  0.1  1   5 rm    0.9435569346092039
          11          2  0.1  2   7 add   1.1248691735578027
          11          3  0.1  0  24 add   1.905560756166331
          11          3  0.1  0   9 rm    1.6747238731843406
          11          3  0.1  1  14 add   1.8476413599600257
          11          3  0.1  1   5 rm    1.6161478502801727
          11          3  0.1  2  22 add   1.9051283623375117
          11          3  0.1  2  11 rm    1.6606496615074402
          11          3 0.28  0  24 add   3.942328203808292
          11          3 0.28  0   9 rm    3.3755062739743718
          11          3 0.28  1  14 add   3.756821781181141
          11          3 0.28  1   5 rm    3.1933339724298238
          11          3 0.28  2  22 add   3.932334465188171
          11          3 0.28  2  11 rm    3.3423445581753453
          11          3  1.0  0  24 add   10.143393959451059
          11          3  1.0  0   9 rm    8.20718008812335
          11          3  1.0  1  14 add   9.380034929072195
          11          3  1.0  1   5 rm    7.467505750646999
          11          3  1.0  2  22 add   10.107231755975992
          11          3  1.0  2  11 rm    8.136972484411883
          11          4  0.1  0  24 add   2.6859640058480836
          11          4  0.1  0   9 rm    2.4479121286312493
          11          4  0.1  1  34 add   2.4942432071334117
          11          4  0.1  1  17 rm    2.505178965159372
          11          4  0.1  2  22 add   2.6686187702072304
          11          4  0.1  2  11 rm    2.4347231146875767
          11          4 0.28  0  24 add   5.328919151394902
          11          4 0.28  0   9 rm    4.8103489191996545
          11          4 0.28  1  34 add   5.495694306228481
          11          4 0.28  1  17 rm    4.965883325101882
          11          4 0.28  2  22 add   5.303584916317366
          11          4 0.28  2  11 rm    4.7879108259122924
          11          4  1.0  0  24 add   13.088871631055502
          11          4  1.0  0   9 rm    11.317823055871507
          11          4  1.0  1  34 add   13.77176970501977
          11          4  1.0  1  17 rm    11.975387559040888
          11          4  1.0  2  22 add   13.03022484478199
          11          4  1.0  2  11 rm    11.265069129030278
          12          2  0.1  0   8 add   1.1518828770470453
          12          2  0.1  0   1 rm    0.8912817444606143
          12          2  0.1  1  14 add   1.2124895355281347
          12          2  0.1  1   5 rm    0.9435107249929078
          12          2  0.1  2   7 add   1.12481898371178
          12          2 0.28  0   8 add   2.372146501429152
          12          2 0.28  0   1 rm    1.7326658424879509
          12          2 0.28  1  14 add   2.5674042544835127
          12          2 0.28  1   5 rm    1.9120833036597704
          12          2 0.28  2   7 add   2.3208740971508366
          12          2  1.0  0   8 add   6.067731723668953
          12          2  1.0  0   1 rm    3.9458646271176434
          12          2  1.0  1  14 add   6.872844508421149
          12          2  1.0  1   5 rm    4.725442037829113
          12          2  1.0  2   7 add   5.970631371465036
          12          3  0.1  0  24 add   1.9040508012473967
          12          3  0.1  0   9 rm    1.6743911183483238
          12          3  0.1  1  14 add   1.8453610933384046
          12          3  0.1  1   5 rm    1.6157347015178072
          12          3  0.1  2  22 add   1.9037343695620408
          12          3  0.1  2  11 rm    1.660281721205741
          12          3 0.28  0  24 add   3.9421824453074614
          12          3 0.28  0   9 rm    3.375405951035764
          12          3 0.28  1  14 add   3.7566201951859344
          12          3 0.28  1   5 rm    3.1931784130001715
          12          3 0.28  2  22 add   3.9322129111906547
          12          3 0.28  2  11 rm    3.3422252018736436
          12          3  1.0  0  24 add   10.143360050684736
          12          3  1.0  0   9 rm    8.207046852044364
          12          3  1.0  1  14 add   9.379936996439634
          12          3  1.0  1   5 rm    7.467285682385788
          12          3  1.0  2  22 add   10.107201824655405
          12          3  1.0  2  11 rm    8.136826679756478
          12          4  0.1  0  24 add   2.6593121934234585
          12          4  0.1  0   9 rm    2.431977941606063
          12          4  0.1  1  34 add   2.713323007539933
          12          4  0.1  1  17 rm    2.4821799655194754
          12          4  0.1  2  22 add   2.644011825416224
          12          4  0.1  2  11 rm    2.422118153530348
          12          4 0.28  0  24 add   5.320213214079602
          12          4 0.28  0   9 rm    4.8049137011810075
          12          4 0.28  1  34 add   5.483783865659405
          12          4 0.28  1  17 rm    4.959224632265675
          12          4 0.28  2  22 add   5.296195995143279
          12          4 0.28  2  11 rm    4.782561194382087
          12          4  1.0  0  24 add   13.088576973213508
          12          4  1.0  0   9 rm    11.3174627457362
          12          4  1.0  1  34 add   13.759072957612934
          12          4  1.0  1  17 rm    11.975154976194945
          12          4  1.0  2  22 add   13.030000003717847
          12          4  1.0  2  11 rm    11.264693196920854
