num_shells num_filled freq ml p   label energy
          10          2  0.1  0   8 add   1.0291961698794228
          10          2  0.1  0   1 rm    0.76383415861456
          10          2  0.1  1  14 add   1.101615151283364
          10          2  0.1  1   5 rm    0.8076323023286925
          10          2  0.1  2   7 add   1.0489712846948798
          10          2  1.0  0   8 add   6.031560873172621
          10          2  1.0  0   1 rm    4.368973234419788
          10          2  1.0  1  14 add   6.769477095214813
          10          2  1.0  1   5 rm    4.863573621955595
          10          2  1.0  2   7 add   5.941473064129279
          10          3  0.1  0  24 add   1.6396820328855588
          10          3  0.1  0   9 rm    1.352659705558312
          10          3  0.1  1  14 add   1.5601636920333708
          10          3  0.1  1   5 rm    1.3205672126938917
          10          3  0.1  2  22 add   1.6183771149324495
          10          3  0.1  2  11 rm    1.3678979920914747
          10          3  1.0  0  24 add   9.685976682696548
          10          3  1.0  0   9 rm    7.965847247545352
          10          3  1.0  1  14 add   8.973228290955158
          10          3  1.0  1   5 rm    7.4508113207379285
          10          3  1.0  2  22 add   9.60439526508986
          10          3  1.0  2  11 rm    7.914293250720093
          10          4  0.1  0  24 add   2.364732282359807
          10          4  0.1  0   9 rm    2.105802775695851
          10          4  0.1  1  34 add   2.435294304725572
          10          4  0.1  1  17 rm    2.1502896745946427
          10          4  0.1  2  22 add   2.351921733703914
          10          4  0.1  2  11 rm    2.1089895354147807
          10          4  1.0  0  24 add   12.134563923004013
          10          4  1.0  0   9 rm    10.656185192536613
          10          4  1.0  1  34 add   12.781674851328454
          10          4  1.0  1  17 rm    11.143827193957888
          10          4  1.0  2  22 add   12.081998733039386
          10          4  1.0  2  11 rm    10.620202499856783
          11          2  0.1  0   8 add   1.0324003642919666
          11          2  0.1  0   1 rm    0.7644588101084797
          11          2  0.1  1  14 add   1.1032142617861582
          11          2  0.1  1   5 rm    0.8081473472339616
          11          2  0.1  2   7 add   1.0520147517389782
          11          2  1.0  0   8 add   6.030942199076104
          11          2  1.0  0   1 rm    4.36558434423404
          11          2  1.0  1  14 add   6.7690627481226
          11          2  1.0  1   5 rm    4.861912345716133
          11          2  1.0  2   7 add   5.940462627332791
          11          3  0.1  0  24 add   1.6296009319656037
          11          3  0.1  0   9 rm    1.3666220501181339
          11          3  0.1  1  14 add   1.5602531763804672
          11          3  0.1  1   5 rm    1.3284275900686602
          11          3  0.1  2  22 add   1.6173568898774422
          11          3  0.1  2  11 rm    1.3739550262588327
          11          3 0.28  0  24 add   3.566380147231791
          11          3 0.28  0   9 rm    3.033227362417765
          11          3 0.28  1  14 add   3.3834648109888965
          11          3 0.28  1   5 rm    2.907657641151029
          11          3 0.28  2  22 add   3.5394391336738154
          11          3 0.28  2  11 rm    3.0206978019262842
          11          3  1.0  0  24 add   9.68505174797992
