num_shells	num_filled	freq	method	energy
2	1	0.28	hf	1.2231915043956543
2	1	0.28	imsrg	1.089120636014893
2	1	0.28	mp2	1.1615291744638458
2	1	1.0	hf	3.2533141373155
2	1	1.0	imsrg	3.1435262250649876
2	1	1.0	mp2	3.1785615008970356
3	1	0.1	hf	0.5269027692025556
3	1	0.1	imsrg	0.3619268175095015
3	1	0.1	mp2	0.45765280713988277
3	1	0.28	hf	1.1417751550621273
3	1	0.28	imsrg	1.0027828892624737
3	1	0.28	mp2	1.0533395334956213
3	1	1.0	hf	3.1626913498665523
3	1	1.0	imsrg	3.0286675623615604
3	1	1.0	mp2	3.0579764308880852
3	2	1.0	hf	21.593198476322474
3	2	1.0	imsrg	21.41214118559367
3	2	1.0	mp2	21.4334405574435
4	1	0.1	hf	0.5269027692025556
4	1	0.1	imsrg	0.37229856749629797
4	1	0.1	mp2	0.4517759717034008
4	1	0.28	hf	1.1417751550621273
4	1	0.28	imsrg	1.001170835845693
4	1	0.28	mp2	1.0455184362643228
4	1	1.0	hf	3.1626913498896294
4	1	1.0	imsrg	3.0146440399830037
4	1	1.0	mp2	3.044403701407495
4	2	0.1	hf	4.019786731894965
4	2	0.1	imsrg	3.7788382716699056
4	2	0.1	mp2	3.855696864582681
4	2	0.28	hf	8.139718553343611
4	2	0.28	imsrg	7.839153839982337
4	2	0.28	mp2	7.904950843667198
4	2	1.0	hf	20.766919430634687
4	2	1.0	imsrg	20.40701328288802
4	2	1.0	mp2	20.4534793008618
4	3	1.0	hf	70.67384919441218
4	3	1.0	imsrg	70.29589755187156
4	3	1.0	mp2	70.31548500471612
5	1	0.28	hf	1.1417411136298858
5	1	0.28	imsrg	0.9989628290434878
5	1	0.28	mp2	1.0396114098291427
5	1	1.0	hf	3.16192140174787
5	1	1.0	imsrg	3.0068057941895576
5	1	1.0	mp2	3.0334184577874597
5	2	0.28	hf	8.095875657315048
5	2	0.28	imsrg	7.645603402377956
5	2	0.28	mp2	7.788343390873854
5	2	1.0	hf	20.748402254251822
5	2	1.0	imsrg	20.300942613398263
5	2	1.0	mp2	20.36753665111122
5	3	0.1	hf	14.098239166142301
5	3	0.1	imsrg	13.784292892897703
5	3	0.1	mp2	13.835745861907167
5	3	0.28	hf	27.596111009760982
5	3	0.28	imsrg	27.176754899104868
5	3	0.28	mp2	27.212292054886596
5	3	1.0	hf	67.56993023786576
5	3	1.0	imsrg	67.00566406119555
5	3	1.0	mp2	67.02161189473557
6	1	0.28	hf	1.1417411136298858
6	1	0.28	imsrg	0.9982925908445504
6	1	0.28	mp2	1.0351196318832032
6	1	1.0	hf	3.16192140174787
6	1	1.0	imsrg	3.0027479025247827
6	1	1.0	mp2	3.0270381153050017
6	2	0.1	hf	3.8706165521424385
6	2	0.1	imsrg	3.4857729930747414
6	2	0.1	mp2	3.61633697691258
6	2	0.28	hf	8.021955860580567
6	2	0.28	imsrg	7.5888578088228735
6	2	0.28	mp2	7.683779812110695
6	2	1.0	hf	20.720257072708577
6	2	1.0	imsrg	20.242586442755744
6	2	1.0	mp2	20.302561264932542
6	3	0.28	hf	27.194899583992296
6	3	0.28	imsrg	26.498513734371784
6	3	0.28	mp2	26.627466439204966
6	3	1.0	hf	67.29686928594298
6	3	1.0	imsrg	66.47444460055723
6	3	1.0	mp2	66.54891526043535
6	4	0.1	hf	35.57215695863601
6	4	0.1	imsrg	35.06704897020855
6	4	0.1	mp2	35.15723004010897
6	4	0.28	hf	67.90735739070792
6	4	0.28	imsrg	67.31050849687236
6	4	0.28	mp2	67.33546944286294
6	4	1.0	hf	161.3397206671294
6	4	1.0	imsrg	160.56698410226355
6	4	1.0	mp2	160.54522776046556
7	1	0.28	hf	1.1417172629191237
7	1	0.28	imsrg	0.9978255409239705
7	1	0.28	mp2	1.0318275931836138
7	1	1.0	hf	3.1619090102451683
7	1	1.0	imsrg	3.0001424432618573
7	1	1.0	mp2	3.02221260714284
7	2	0.1	hf	3.8631345006545605
7	2	0.1	imsrg	3.4812505569945102
7	2	0.1	mp2	3.5926874534743813
7	2	0.28	hf	8.02057107328676
7	2	0.28	imsrg	7.583454232569367
7	2	0.28	mp2	7.664137027319903
7	2	1.0	hf	20.720131534669118
7	2	1.0	imsrg	20.217418687876528
7	2	1.0	mp2	20.274047608354234
7	3	0.1	hf	13.270860531558295
7	3	0.1	imsrg	12.636660410397218
7	3	0.1	mp2	12.802011255708313
7	3	0.28	hf	26.722531833868544
7	3	0.28	imsrg	25.925142674455362
7	3	0.28	mp2	26.054949488093065
7	3	1.0	hf	66.93474491642282
7	3	1.0	imsrg	65.99243949434846
7	3	1.0	mp2	66.06735665125801
7	4	0.28	hf	66.33661278550194
7	4	0.28	imsrg	65.35873201840968
7	4	0.28	mp2	65.43934145917412
7	4	1.0	hf	159.95872216889055
7	4	1.0	imsrg	158.7748509812013
7	4	1.0	mp2	158.79943214192807
7	5	0.28	hf	139.07303787944497
7	5	0.28	imsrg	138.26586599437337
7	5	0.28	mp2	138.2793780185728
7	5	1.0	hf	322.6846623153283
7	5	1.0	imsrg	321.67810250435974
7	5	1.0	mp2	321.62010019981153
8	1	0.28	hf	1.1417172629191237
8	1	0.28	imsrg	0.9975829520617562
8	1	0.28	mp2	1.0292311981611477
8	1	1.0	hf	3.1619090104416836
8	1	1.0	imsrg	2.9983715898606227
8	1	1.0	mp2	3.01859058063503
8	2	0.1	hf	3.8528798935552797
8	2	0.1	imsrg	3.490620933647526
8	2	0.1	mp2	3.5754203507876845
8	2	0.28	hf	8.019625257809643
8	2	0.28	imsrg	7.5802072282662545
8	2	0.28	mp2	7.649790885166423
8	2	1.0	hf	20.719248440081017
8	2	1.0	imsrg	20.201983927952824
8	2	1.0	mp2	20.25223504223603
8	3	0.28	hf	26.651148534667623
8	3	0.28	imsrg	25.742574913164002
8	3	0.28	mp2	25.900027745418296
8	3	1.0	hf	66.92309448174217
8	3	1.0	imsrg	65.91121247166285
8	3	1.0	mp2	65.98562048702013
8	4	0.1	hf	32.90760988092756
8	4	0.1	imsrg	32.11004980958241
8	4	0.1	mp2	32.222558134635754
8	4	0.28	hf	64.75479197429374
8	4	0.28	imsrg	63.6663679323828
8	4	0.28	mp2	63.758431325456826
8	4	1.0	hf	158.4001723310519
8	4	1.0	imsrg	156.96262116324223
8	4	1.0	mp2	157.0105968803893
8	5	1.0	hf	318.4354436415082
8	5	1.0	imsrg	316.85615671762935
8	5	1.0	mp2	316.79562137469657
8	6	1.0	hf	574.7947270252104
8	6	1.0	imsrg	573.5345984919701
8	6	1.0	mp2	573.4373297993991
9	1	0.28	hf	1.1417125796139904
9	1	0.28	imsrg	0.997425748461382
9	1	0.28	mp2	1.0271733254225075
9	1	1.0	hf	3.161908943432632
9	1	1.0	imsrg	2.997090801870449
9	1	1.0	mp2	3.015743448211153
9	2	0.1	hf	3.8525908541247826
9	2	0.1	imsrg	3.492507329769491
9	2	0.1	mp2	3.567396645652988
9	2	0.28	hf	8.019611071102515
9	2	0.28	imsrg	7.577959084473717
9	2	0.28	mp2	7.638667766972342
9	2	1.0	hf	20.71924817502896
9	2	1.0	imsrg	20.191486691782526
9	2	1.0	mp2	20.23667922122504
9	3	0.1	hf	13.000151223588313
9	3	0.1	imsrg	12.251542487040092
9	3	0.1	mp2	12.414097447582463
9	3	0.28	hf	26.559696912254047
9	3	0.28	imsrg	25.659981142136115
9	3	0.28	mp2	25.768865668917023
9	3	1.0	hf	66.91224417197728
9	3	1.0	imsrg	65.85944982445005
9	3	1.0	mp2	65.9253062833939
9	4	0.28	hf	64.30908782170387
9	4	0.28	imsrg	62.9466616838631
9	4	0.28	mp2	63.1126598797515
9	4	1.0	hf	158.2260300482401
9	4	1.0	imsrg	156.58073529566693
9	4	1.0	mp2	156.65718896958617
9	5	0.1	hf	68.01271888965287
