# time taken (in seconds) for various kinds of ground state calculations
# benchmarked on Fei's old office computer (rip 2013-2016)
num_shells num_filled freq method time
5 1 0.28 hf 4.7583e-05
5 1 0.28 imsrg 2.86402
5 1 0.28 mp2 4.97399e-06
5 1 1.0 hf 0.000336315
5 1 1.0 imsrg 2.26653
5 1 1.0 mp2 3.73501e-06
5 2 0.28 hf 4.8289e-05
5 2 0.28 imsrg 3.89155
5 2 0.28 mp2 7.88999e-06
5 2 1.0 hf 3.3445e-05
5 2 1.0 imsrg 2.71422
5 2 1.0 mp2 5.49399e-06
5 3 0.1 hf 5.0499e-05
5 3 0.1 imsrg 3.71003
5 3 0.1 mp2 1.1418e-05
5 3 0.28 hf 5.0559e-05
5 3 0.28 imsrg 3.12139
5 3 0.28 mp2 1.1229e-05
5 3 1.0 hf 0.000332628
5 3 1.0 imsrg 2.85022
5 3 1.0 mp2 7.71999e-06
6 1 0.28 hf 5.2337e-05
6 1 0.28 imsrg 12.0095
6 1 0.28 mp2 8.69e-06
6 1 1.0 hf 0.000375409
6 1 1.0 imsrg 9.34905
6 1 1.0 mp2 8.562e-06
6 2 0.1 hf 3.5741e-05
6 2 0.1 imsrg 23.2881
6 2 0.1 mp2 1.0299e-05
6 2 0.28 hf 0.000317791
6 2 0.28 imsrg 15.1526
6 2 0.28 mp2 1.4975e-05
6 2 1.0 hf 0.00033479
6 2 1.0 imsrg 10.988
6 2 1.0 mp2 1.0746e-05
6 3 0.28 hf 4.8589e-05
6 3 0.28 imsrg 16.2861
6 3 0.28 mp2 2.5897e-05
6 3 1.0 hf 5.0699e-05
6 3 1.0 imsrg 13.0018
6 3 1.0 mp2 2.811e-05
7 1 0.28 hf 5.0076e-05
7 1 0.28 imsrg 42.2828
7 1 0.28 mp2 1.4255e-05
7 1 1.0 hf 0.000338885
7 1 1.0 imsrg 31.7399
7 1 1.0 mp2 1.0726e-05
7 2 0.1 hf 3.7899e-05
7 2 0.1 imsrg 80.3469
7 2 0.1 mp2 1.9621e-05
7 2 0.28 hf 0.000305288
7 2 0.28 imsrg 50.8004
7 2 0.28 mp2 2.6224e-05
7 2 1.0 hf 0.000302004
7 2 1.0 imsrg 37.1686
7 2 1.0 mp2 1.918e-05
7 3 0.1 hf 5.0021e-05
7 3 0.1 imsrg 65.9458
7 3 0.1 mp2 4.8182e-05
7 3 0.28 hf 4.13e-05
7 3 0.28 imsrg 53.2563
7 3 0.28 mp2 3.9935e-05
7 3 1.0 hf 0.000320868
7 3 1.0 imsrg 43.057
7 3 1.0 mp2 3.5044e-05
8 1 0.28 hf 0.000318338
8 1 0.28 imsrg 124.093
8 1 0.28 mp2 2.6636e-05
8 1 1.0 hf 4.8966e-05
8 1 1.0 imsrg 91.631
8 1 1.0 mp2 1.7551e-05
8 2 0.1 hf 5.5358e-05
8 2 0.1 imsrg 207.206
8 2 0.1 mp2 6.2279e-05
8 2 0.28 hf 0.000307849
8 2 0.28 imsrg 146.64
8 2 0.28 mp2 4.7269e-05
8 2 1.0 hf 4.3245e-05
8 2 1.0 imsrg 109.947
8 2 1.0 mp2 3.2442e-05
8 3 0.28 hf 0.000309512
8 3 0.28 imsrg 170.584
8 3 0.28 mp2 6.2742e-05
8 3 1.0 hf 0.00032339
8 3 1.0 imsrg 128.194
8 3 1.0 mp2 9.24971e-05
9 1 0.28 hf 6.15431e-05
9 1 0.28 imsrg 325.446
9 1 0.28 mp2 4.4373e-05
9 1 1.0 hf 4.95841e-05
