# Functional dependencies:
#
#   * (interaction, num_shells, num_filled, freq, method) -> energy
#
interaction num_shells num_filled freq method energy
normal 2 1 0.28 hf 1.2231915043956543
normal 2 1 0.28 imsrg 1.089120636014893
normal 2 1 0.28 mp2 1.1615291744638458
normal 2 1 0.5 hf 1.8862269254527582
normal 2 1 0.5 imsrg 1.7679566090179637
normal 2 1 0.5 mp2 1.8181970906820357
normal 2 1 1.0 hf 3.2533141373155
normal 2 1 1.0 imsrg 3.1435262250649876
normal 2 1 1.0 mp2 3.1785615008970356
normal 3 1 0.1 hf 0.5269027692025556
normal 3 1 0.1 imsrg 0.3619268175095015
normal 3 1 0.1 mp2 0.45765280713988277
normal 3 1 0.28 hf 1.1417751550621273
normal 3 1 0.28 imsrg 1.0027828892624737
normal 3 1 0.28 mp2 1.0533395334956213
normal 3 1 0.5 hf 1.7998563827057426
normal 3 1 0.5 imsrg 1.6630545299664725
normal 3 1 0.5 mp2 1.7028136986124216
normal 3 1 1.0 hf 3.1626913498665523
normal 3 1 1.0 imsrg 3.0286675623615604
normal 3 1 1.0 mp2 3.0579764308880852
normal 3 2 0.5 hf 13.051619644020565
normal 3 2 0.5 imsrg 12.881687477613958
normal 3 2 0.5 mp2 12.908981663153673
normal 3 2 1.0 hf 21.593198476322474
normal 3 2 1.0 imsrg 21.412141127837128
normal 3 2 1.0 mp2 21.4334405574435
normal 4 1 0.1 hf 0.5269027692025556
normal 4 1 0.1 imsrg 0.37229856749629797
normal 4 1 0.1 mp2 0.4517759717034008
normal 4 1 0.28 hf 1.1417751550621273
normal 4 1 0.28 imsrg 1.001170835845693
normal 4 1 0.28 mp2 1.0455184362643228
normal 4 1 0.5 hf 1.7998563827057426
normal 4 1 0.5 imsrg 1.6556448268652078
normal 4 1 0.5 mp2 1.6927604576818571
normal 4 1 1.0 hf 3.1626913498896294
normal 4 1 1.0 imsrg 3.0146440399830037
normal 4 1 1.0 mp2 3.044403701407495
normal 4 2 0.1 hf 4.019786731894965
normal 4 2 0.1 imsrg 3.7788382716699056
normal 4 2 0.1 mp2 3.855696864582681
normal 4 2 0.28 hf 8.139718553343611
normal 4 2 0.28 imsrg 7.839153839982337
normal 4 2 0.28 mp2 7.904950843667198
normal 4 2 0.5 hf 12.357470747696643
normal 4 2 0.5 imsrg 12.025706380430218
normal 4 2 0.5 mp2 12.08360522900587
normal 4 2 1.0 hf 20.766919430634687
normal 4 2 1.0 imsrg 20.40701328288802
normal 4 2 1.0 mp2 20.4534793008618
normal 4 3 0.5 hf 43.66326688116843
normal 4 3 0.5 imsrg 43.24100234577329
normal 4 3 0.5 mp2 43.303218862824075
normal 4 3 1.0 hf 70.67384919441218
normal 4 3 1.0 imsrg 70.29589755187156
normal 4 3 1.0 mp2 70.31548500471612
normal 5 1 0.28 hf 1.1417411136298858
normal 5 1 0.28 imsrg 0.9989628290434878
normal 5 1 0.28 mp2 1.0396114098291427
normal 5 1 0.5 hf 1.799747936580947
normal 5 1 0.5 imsrg 1.6511886789565844
normal 5 1 0.5 mp2 1.6846860042759417
normal 5 1 1.0 hf 3.16192140174787
normal 5 1 1.0 imsrg 3.0068057941895576
normal 5 1 1.0 mp2 3.0334184577874597
normal 5 2 0.28 hf 8.095875657315048
normal 5 2 0.28 imsrg 7.645603402377956
normal 5 2 0.28 mp2 7.788343390873854
normal 5 2 0.5 hf 12.325127683784668
normal 5 2 0.5 imsrg 11.879572498836271
normal 5 2 0.5 mp2 11.979886076411676
normal 5 2 1.0 hf 20.748402254251822
normal 5 2 1.0 imsrg 20.300942613398263
normal 5 2 1.0 mp2 20.36753665111122
normal 5 3 0.1 hf 14.098239166142301
normal 5 3 0.1 imsrg 13.784292892897703
