# Data imported from Sarah's compWithOtherMethods/data.txt
#
# Additional comments from the data file for each (num_particles, freq):
#
# - (56, 1.0) no convergence until R=14
# - (56, 0.5) no convergence until R=16
# - (56, 0.28) no convergence until R=18
# - (56, 0.1) no convergence until at least R=18
#
# Rows with energy=nan indicate no convergence (marked as "nc" in data.txt)
#
num_particles freq num_shells method energy
6 1.0 3 hf 21.5932
6 1.0 3 imsrg 21.41211
6 1.0 3 fci 21.420589
6 1.0 4 hf 20.76692
6 1.0 4 imsrg 20.40701
6 1.0 4 fci 20.415833
6 1.0 5 hf 20.7484
6 1.0 5 imsrg 20.30093
6 1.0 5 fci 20.316762
6 1.0 6 hf 20.72026
6 1.0 6 imsrg 20.24258
6 1.0 6 fci 20.257196
6 1.0 7 hf 20.72013
6 1.0 7 imsrg 20.2174
6 1.0 7 fci 20.232307
6 1.0 8 hf 20.71925
6 1.0 8 imsrg 20.20197
6 1.0 8 fci 20.216428
6 1.0 9 hf 20.71925
6 1.0 9 imsrg 20.19147
6 1.0 10 hf 20.71922
6 1.0 10 imsrg 20.18407
6 1.0 10 ccsd 20.2161
6 1.0 11 hf 20.71922
6 1.0 11 imsrg 20.17852
6 1.0 12 hf 20.71922
6 1.0 12 imsrg 20.17423
6 1.0 12 ccsd 20.2063
6 1.0 13 hf 20.71922
6 1.0 13 imsrg 20.17082
6 1.0 14 hf 20.71922
6 1.0 14 imsrg 20.16804
6 1.0 14 ccsd 20.2
6 1.0 15 hf 20.71922
6 1.0 15 imsrg 20.16573
6 1.0 16 hf 20.71922
6 1.0 16 imsrg 20.16378
6 1.0 16 ccsd 20.1957
6 1.0 17 hf 20.71922
6 1.0 17 imsrg 20.16212
6 1.0 18 hf 20.71922
6 1.0 18 imsrg 20.16068
6 1.0 18 ccsd 20.1925
6 1.0 20 hf 20.71922
6 1.0 20 imsrg 20.15833
6 1.0 20 ccsd 20.1901
6 0.5 3 hf 13.0516
6 0.5 3 imsrg 12.88169
6 0.5 3 fci 12.897229
6 0.5 4 hf 12.35747
6 0.5 4 imsrg 12.02571
6 0.5 4 fci 12.036943
6 0.5 5 hf 12.32513
6 0.5 5 imsrg 11.87957
6 0.5 5 fci 11.913062
6 0.5 6 hf 12.2715
6 0.5 6 imsrg 11.81401
6 0.5 6 fci 11.840364
6 0.5 7 hf 12.27138
6 0.5 7 imsrg 11.79987
6 0.5 7 fci 11.825317
6 0.5 8 hf 12.27136
6 0.5 8 imsrg 11.79151
6 0.5 8 fci 11.815817
6 0.5 9 hf 12.27134
6 0.5 9 imsrg 11.78593
6 0.5 10 hf 12.27133
6 0.5 10 imsrg 11.78203
6 0.5 10 ccsd 11.8301
6 0.5 11 hf 12.27132
6 0.5 11 imsrg 11.77914
6 0.5 12 hf 12.27132
6 0.5 12 imsrg 11.77691
6 0.5 12 ccsd 11.8245
6 0.5 13 hf 12.27132
6 0.5 13 imsrg 11.77516
6 0.5 14 hf 12.27132
6 0.5 14 imsrg 11.77374
6 0.5 14 ccsd 11.8209
6 0.5 16 hf 12.27132
6 0.5 16 imsrg 11.77158
6 0.5 16 ccsd 11.8185
6 0.5 18 hf 12.27132
6 0.5 18 imsrg 11.77003
6 0.5 18 ccsd 11.8167
6 0.5 20 hf 12.27132
6 0.5 20 imsrg 11.76885
6 0.5 20 ccsd 11.8154
6 0.28 4 hf 8.13972
6 0.28 4 imsrg 7.83914
6 0.28 4 fci 7.851833
6 0.28 5 hf 8.09588
6 0.28 5 imsrg 7.6456
6 0.28 5 fci 7.710452
6 0.28 6 hf 8.02196
6 0.28 6 imsrg 7.58885
6 0.28 6 fci 7.629581
6 0.28 7 hf 8.02057
6 0.28 7 imsrg 7.58345
6 0.28 7 fci 7.620985
6 0.28 8 hf 8.01963
6 0.28 8 imsrg 7.5802
6 0.28 8 fci 7.615535
6 0.28 9 hf 8.01961
6 0.28 9 imsrg 7.57795
6 0.28 10 hf 8.01957
6 0.28 10 imsrg 7.57634
6 0.28 10 ccsd 7.639
6 0.28 11 hf 8.01957
6 0.28 11 imsrg 7.57519
6 0.28 12 hf 8.01957
6 0.28 12 imsrg 7.5743
6 0.28 12 ccsd 7.636
6 0.28 13 hf 8.01957
6 0.28 13 imsrg 7.57362
6 0.28 14 hf 8.01957
6 0.28 14 imsrg 7.57307
6 0.28 14 ccsd 7.6341
6 0.28 16 hf 8.01957
6 0.28 16 imsrg 7.57226
6 0.28 16 ccsd 7.6328
6 0.28 18 hf 8.01957
6 0.28 18 imsrg 7.57169
6 0.28 18 ccsd 7.6319
6 0.28 20 hf 8.01957
6 0.28 20 imsrg 7.57126
6 0.28 20 ccsd 7.6312
6 0.1 4 hf 4.01979
6 0.1 4 imsrg 3.77883
6 0.1 4 fci 3.797439
6 0.1 6 hf 3.87062
6 0.1 6 imsrg 3.48576
6 0.1 6 fci 3.567998
6 0.1 7 hf 3.86314
6 0.1 7 imsrg 3.48124
6 0.1 8 hf 3.85288
6 0.1 8 imsrg 3.49061
6 0.1 9 hf 3.85259
6 0.1 9 imsrg 3.4925
6 0.1 10 hf 3.85239
6 0.1 10 imsrg 3.49329
6 0.1 10 ccsd 3.5841
6 0.1 11 hf 3.85239
6 0.1 11 imsrg 3.49397
6 0.1 12 hf 3.85238
6 0.1 12 imsrg 3.49436
6 0.1 12 ccsd 3.5835
6 0.1 13 hf 3.85238
6 0.1 13 imsrg 3.49473
6 0.1 14 hf 3.85238
6 0.1 14 imsrg 3.49501
6 0.1 14 ccsd 3.5831
6 0.1 16 hf 3.85238
6 0.1 16 imsrg 3.4955
6 0.1 16 ccsd 3.5828
6 0.1 18 hf 3.85238
6 0.1 18 imsrg 3.495893
6 0.1 18 ccsd 3.5826
6 0.1 20 hf 3.85238
6 0.1 20 imsrg 3.496203
6 0.1 20 ccsd 3.5825
12 1.0 4 hf 70.67385
12 1.0 4 imsrg 70.29589
12 1.0 5 hf 67.56993
12 1.0 5 imsrg 67.00566
12 1.0 6 hf 67.29687
12 1.0 6 imsrg 66.47442
12 1.0 7 hf 66.93474
12 1.0 7 imsrg 65.99242
12 1.0 8 hf 66.92309
12 1.0 8 imsrg 65.91119
12 1.0 9 hf 66.91224
12 1.0 9 imsrg 65.85942
12 1.0 10 hf 66.91204
12 1.0 10 imsrg 65.82642
12 1.0 10 ccsd 65.888
12 1.0 11 hf 66.91136
12 1.0 11 imsrg 65.80346
12 1.0 12 hf 66.91136
12 1.0 12 imsrg 65.78621
12 1.0 12 ccsd 65.8484
12 1.0 13 hf 66.91132
12 1.0 13 imsrg 65.77311
12 1.0 14 hf 66.91132
12 1.0 14 imsrg 65.76275
12 1.0 14 ccsd 65.825
12 1.0 15 hf 66.91132
12 1.0 15 imsrg 65.75437
